symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,23.89887096774194,23591.35,31000,18024.25,24532.701,24987.469,23970,24000.05,23500,23922.7,451
AARTIDRUGS.NS,AARTI DRUGS LTD,38.19075904377039,634.75,1026.95,510.25,704.13196,708.6546,651.35,653,632.05,650.35,81480
ADANIGREEN.NS,ADANI GREEN ENERGY,37.014388489208635,875.5,1390,351,995.6278,1107.6807,908.4,909,875,908.4,221394
ADANIPORTS.NS,ADANI PORT SPECIAL,23.38512763596005,690.3,901,312.1,698.4,711.33453,693.4,705,687,693,2282727
AFFLE.NS,Affle (India) Limited,34.70205945288077,4104.4,6285.65,2050,4356.9165,4986.2314,4188,4190,4100,4163.45,11865
AGCNET.NS,AGC NETWORKS LTD,34.29142857142857,1149.9,1750,302,1196.9277,1220.6398,1149.9,1149.9,1101.1,1141.9,1764
AKASH.NS,Akash Infra-Projects Ltd,35.49822064056939,181.25,281,157.9,214.39444,215.25352,190,190,181.25,184.4,1182
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7055554,3.7545774,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,30.880990687923546,708.85,1025.55,693.15,731.49164,813.3183,724,728.7,706.5,723.4,261142
AMBER.NS,AMBER ENTERPRISES,25.182960131075912,2739.8,3662,1642.2,2980.8972,3027.45,2820,2860,2732.05,2866.75,26110
ANMOL.NS,Anmol India Limited,15.84457887389484,180.85,214.9,136,162.50555,162.64896,190.15,191.55,177.5,192.15,14612
APLLTD.NS,ALEMBIC PHARMACEUT,34.80349344978166,746.5,1145,745.25,914.1583,944.5655,774.75,774.75,745.25,769.15,163495
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.7652777,1.7922535,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,36.95906432748538,26.95,42.75,9.45,31.020834,31.587677,26.25,28.15,25.65,26.25,75021
ASIANTILES.NS,ASIAN GRANITO INDI,47.77707208637663,164.45,314.9,138.15,180.28195,188.26619,169,171.15,163.95,169.4,97729
