symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,21.139354838709682,24446.8,31000,18024.25,24581.338,24912.607,24455,24620,24354.1,24416.65,926
AARTIDRUGS.NS,AARTI DRUGS LTD,35.245143385753934,665,1026.95,510.25,707.10284,709.05176,663.8,668.9,660.65,661.1,125342
ADANIGREEN.NS,ADANI GREEN ENERGY,34.492805755395686,910.55,1390,351,1004.24426,1109.0385,892,921,882,889.65,1079019
ADANIPORTS.NS,ADANI PORT SPECIAL,21.120976692563815,710.7,901,312.1,699.4443,708.1025,692.95,719.9,691.45,693.55,17483159
AFFLE.NS,Affle (India) Limited,33.797618384733475,4161.25,6285.65,1926.05,4374.784,4972.0493,4155,4189,4150,4147.05,17484
AGCNET.NS,AGC NETWORKS LTD,33.371428571428574,1166,1750,297.35,1201.9543,1211.7717,1155,1195,1155,1150.55,1214
AKASH.NS,Akash Infra-Projects Ltd,33.096085409252666,188,281,157.9,215.61,215.95874,192.95,194.85,186.55,189.65,48495
ALCHEM.NS,ALCHEMIST LTD,67.24890829694323,3.75,11.45,3.05,3.7071428,3.7776225,3.75,3.75,3.5,3.75,37161
AMARAJABAT.NS,AMARA RAJA BATTERI,28.691921408024964,731.3,1025.55,693.15,732.3343,817.9731,719.65,737.4,719.15,717.8,1823903
AMBER.NS,AMBER ENTERPRISES,18.731567449481155,2976.05,3662,1642.2,2979.3528,3018.6748,2986.95,2995,2935.8,2986.95,57587
ANMOL.NS,Anmol India Limited,21.75126903553299,154.15,197,136,160.76572,161.52283,165.8,165.8,149.25,162.15,28002
APLLTD.NS,ALEMBIC PHARMACEUT,31.6113537117904,783.05,1145,773.8,924.81714,947.2444,785,791.35,780,783.45,261375
ARCOTECH.NS,ARCOTECH LTD,43.28358208955225,1.9,3.35,1.4,1.75,1.8027972,1.9,1.9,1.9,1.9,26872
ARSHIYA.NS,ARSHIYA LIMITED,34.50292397660819,28,42.75,9.45,31.264286,31.553846,27.25,28.6,27.1,26.95,41493
ASIANTILES.NS,ASIAN GRANITO INDI,42.17211813274055,182.1,314.9,138.15,180.54857,190.53601,180.4,184.9,179.6,179.3,478324
ASTRAZEN.NS,ASTREZENECA PHARMA,31.487927565392347,3405.05,4970,3005,3536.3372,3612.0706,3471,3499.5,3401,3464.8,25262
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,59.93071593533487,17.35,43.3,15.3,16.578571,23.438461,15.8,17.4,15.8,17,5900
BANDHANBNK.NS,BANDHAN BANK LTD,29.45205479452054,303.85,430.7,251.4,315.0943,323.2507,307.2,308,300,308.2,7072697
BANKA.NS,Banka BioLoo Limited,16.194331983805668,72.45,86.45,27.9,67.91143,68.578674,67.95,80.6,67,67.2,118735
BCP.NS,B.C. Power Controls Ltd,54.597701149425276,3.95,8.7,2.85,3.8585715,4.032867,3.95,4,3.8,3.9,247885
BHARTIARTL.NS,BHARTI AIRTEL LTD,2.4237560192616407,607.9,623,394,542.67145,546.5738,594.5,616.95,588.5,598.7,28514391
BIOCON.NS,BIOCON LTD,21.35315222962583,383.6,487.75,363.25,395.70856,396.96432,384.2,386.9,382.85,384.15,941884
BIOFILCHEM.NS,BIOFIL CHEMICALS &,80.51109238977816,69.4,356.1,24,71.012856,75.864685,73,73,69,72,75483
BLISSGVS.NS,BLISS GVS PHARMA,45.70135746606335,120,221,91.65,112.07286,127.346855,115,124.75,115,115.25,2339285
BLUESTARCO.NS,BLUE STAR,13.193733360638953,847.75,976.6,500,842.79,844.2287,864,872,840,858.25,116647
CANDC.NS,C & C CONSTRUCTION,52.25806451612903,3.7,7.75,1.95,4.1085715,4.9241257,3.55,3.7,3.55,3.55,10929
CEATLTD.NS,CEAT LTD,23.8598979013046,1342.35,1763,861,1359.8143,1440.042,1345,1354,1337,1349.95,85882
CHOLAFIN.NS,CHOLAMANDALAM INV,12.005990515017903,528.8,600.95,202.15,512.88855,525.9986,536,539.5,522.6,539.65,1972892
CUB.NS,CITY UNION BANK,23.400000000000006,153.2,200,116.55,160.15428,165.83636,153.9,154.75,152.9,153.1,801838
DCBBANK.NS,DCB BANK LIMITED,23.91304347826087,96.25,126.5,74.3,104.22143,104.86993,94.95,97.6,94.3,94.95,1307808
DHANI.NS,DHANI SERVICES LIMITED,48.78141179441848,202.8,395.95,143.9,200.30571,234.72377,197.05,214.15,197.05,207.45,1466459
DHFL.NS,DEWAN HOUSING FIN,61.026837806301046,16.7,42.85,12.05,16.7,17.524475,16.7,16.7,16.7,16.7,2454074
DQE.NS,DQ ENTERTAINMENT I,42.42424242424243,0.95,1.65,0.85,0.99285716,1.0395105,0.85,0.95,0.85,0.95,66357
ENGINERSIN.NS,ENGINEERS INDIA,20.79314040728831,73.9,93.3,60.4,77.627144,77.76888,74.15,74.85,73.4,73.9,1335431
EROSMEDIA.NS,EROS INTL MEDIA,42.19810040705563,21.3,36.85,17.75,25.695715,25.81119,22.15,22.75,20.9,22.1,1075379
ESCORTS.NS,ESCORTS,18.287990738533825,1199.9,1468.45,1077.4,1187.1628,1237.7804,1224.55,1229.5,1188,1224.55,2075030
EXIDEIND.NS,EXIDE INDUSTRIES,21.59142726858186,171.95,219.3,153.6,180.44286,189.27342,172.8,173.4,171.6,171.75,3030540
GANECOS.NS,GANESHA ECOSPHERE,22.9121278140886,530.75,688.5,214,521.3243,552.1098,527.9,540.75,521.1,529.6,25096
GFLLIMITED.NS,GFL LIMITED,26.966745456236847,71.05,97.28445,62.451668,70.18429,73.27128,70.3,73,70.3,70.05,63372
GICRE.NS,GENERAL INSURANCE,29.852579852579847,171.3,244.2,115,188.19429,189.05244,171,173.9,170.1,171.1,475348
GLOBE.NS,Globe Textiles (I) Ltd.,5.315614617940204,14.25,15.05,3.066666,3.3733327,3.373333,14.75,15.05,14,14.35,647393
GOENKA.NS,GOENKA DIAMOND & J,47.916666666666664,1.25,2.4,0.55,1.3157142,1.5034965,1.25,1.25,1.2,1.25,214283
GULFOILLUB.NS,GULF OIL LUBRICANT,25.599762470308786,626.45,842,603.25,669.74,705.2196,636,644.5,624.1,634.3,50254
HATHWAY.NS,HATHWAY CABLE & DA,34.89254108723135,25.75,39.55,20.55,26.45143,26.90979,25.6,26,25.6,25.6,2193753
HDFC.NS,HOUSING DEVEL FIN,9.250690607734809,2628.1,2896,1623,2503.8015,2542.648,2657,2673,2621.4,2661.7,2139649
HDFCAMC.NS,HDFC ASSET MANAGEM,12.975974277293158,2923.05,3358.9,2070.05,2921.4614,2930.5217,2925,2929,2898,2925.3,134875
HDFCBANK.NS,HDFC BANK,9.040219378427782,1492.65,1641,1020.2,1478.9471,1485.0891,1483.55,1500,1474,1484.85,6668830
HDFCLIFE.NS,HDFC LIFE INSURANC,9.731903485254694,673.4,746,555.95,683.5443,687.7818,670.05,675.5,669,669.5,1749221
HEMIPROP.NS,Hemisphere Prop Ind Ltd,28.69177403369673,143.9,201.8,54.4,145.39429,147.61923,144,147.9,142.5,139.45,1148875
HEROMOTOCO.NS,HERO MOTOCORP LTD,21.91344842314104,2833.8,3629.05,2674.15,2869.75,3048.1506,2830,2851.05,2811.7,2818.8,445459
HNDFDS.NS,Hindustan Foods Limited,26.274243599689676,1900.65,2578,692.1,1987.4128,2018.3749,1945,1945,1898,1919.1,4428
HONAUT.NS,HONEYWELL AUTO IND,17.877175435087022,41053.2,49990,27850,42055.242,43081.37,41000,41576.05,40629,41477.75,6774
IDEA.NS,VODAFONE IDEA LTD,48.550724637681164,7.1,13.8,4.55,8.83,9.6702795,6.5,7.35,6.5,5.95,1258727984
IDFCFIRSTB.NS,IDFC FIRST BANK,29.004329004328998,49.2,69.3,26.85,53.372856,55.8986,48.6,49.55,48.1,47.8,49832912
IFBIND.NS,IFB INDUSTRIES LTD,34.15729589460377,989.55,1502.9,376,1035.4785,1111.3451,995,1006.35,980,996.45,17187
INDIAMART.NS,IndiaMART InterMESH Ltd,26.091457286432163,7353.9,9950,2876,7201.906,7775.74,7381,7437.45,7290,7381.55,25732
INDLMETER.NS,IMP POWERS LTD,38.85057471264367,13.3,21.75,11,14.395715,15.06993,12.7,13.3,12.7,12.7,17256
INDUSTOWER.NS,INDUS TOWERS LIMITED,24.62409340173358,213.05,282.65,162.2,232.33144,246.57098,216.1,217.15,211.5,214.65,4922564
ITC.NS,ITC LTD,10.430602006688959,214.25,239.2,163.35,205.92,209.87798,215.4,216,212.6,215.25,23570412
JCHAC.NS,JOHNSON CONTROLS-H,23.525510204081638,2248.35,2940,1980.05,2260.803,2412.4912,2225.2,2275,2222,2261.7,22645
JETAIRWAYS.NS,JET AIRWAYS INDIA,52.58975868157739,80.55,169.9,23.65,93.55428,97.4507,81,83,78.2,81.5,74754
JUBLPHARMA.NS,JUBILANT PHARMOVA LTD,33.163163163163155,667.7,999,509.54782,714.0714,764.1741,661.5,670.9,651.55,657.45,232269
KAPSTON.NS,Kapston Facilities Mgmt L,34.564141606395125,85.95,131.35,73.15,88.961426,94.872375,86.55,89.95,82.65,87,2346
KARURVYSYA.NS,KARUR VYSYA BANK,27.110766847405113,47.05,64.55,29.3,50.364285,53.825874,46.9,48.1,46.65,46.7,1393467
KELLTONTEC.NS,KELLTON TECH SOLU,39.29347826086956,55.85,92,18.2,63.252857,69.947556,55,56.8,55,55.9,485217
KGL.NS,KARUTURI GLOBAL,50,0.25,0.5,0.15,0.2,0.23671329,0.15,0.25,0.15,0.2,7473514
KOLTEPATIL.NS,KOLTE-PATIL DEVELO,14.513305322128856,244.15,285.6,147.75,232.58194,235.93854,262.45,255,241,247,962056
KOTAKBANK.NS,KOTAK MAHINDRA BAN,13.265007320644214,1777.2,2049,1230.6,1723.94,1794.2689,1769,1784.7,1756.15,1771.75,3639313
KSERASERA.NS,KSS LTD,50,0.15,0.3,0.1,0.15,0.16041666,0.2,0.2,0.15,0.15,8023373
KTKBANK.NS,KARNATAKA BANK,18.29268292682927,60.3,73.8,39.5,61.498573,63.670628,60.5,61,60.05,60.15,935362
L&TFH.NS,L&T FINANCE HOLDIN,21.340388007054678,89.2,113.4,51.71434,91.36667,94.06533,89.3,89.5,88.1,88.25,4971499
LUMAXIND.NS,LUMAX INDUSTRIES,15.986318268475951,1498.3,1783.4,1188,1519.4,1544.8875,1572.7,1578,1484,1535.9,43162
M&M.NS,MAHINDRA &MAHINDRA,20.356073735623127,758.25,952.05,567.5,770.5557,804.6553,763.8,772.3,755,759.35,4469798
M&MFIN.NS,MAHINDRA &MAH FIN,30.584039233169868,155.7,224.3,112.7,156.3361,175.86528,150.5,157.7,154.4,156.35,3442649
MARINE.NS,Marine Electrical (I) Ltd,48.015435501653805,47.15,90.7,16,57.14722,59.3809,48,47.9,45.85,46.3,1395071
MASFIN.NS,MAS FINANCIAL SERV,28.802268533105277,790.9,1110.85,641,844.8153,856.3771,810.95,805.95,787.4,797.15,14151
