symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
BRNL.NS,BHARAT ROAD NETWOR,33.5,2021-07-05 07:27:11,33.65,0,113859,128243,33.55,0,INR,NSI,Asia/Kolkata,IST,31.605715,1.8942852,0.059934895,40.5,-7,-0.17283951,25.75,7.75,0.30097088,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.049999237,-0.14902903,34.4,33.3,32.8,33.55,47255,15,31.693663,1.8063374,0.056993645,17.28395061728395
CANDC.NS,C & C CONSTRUCTION,4.5,2021-07-05 07:32:37,4.75,0,35491,29458,4.7,0,INR,NSI,Asia/Kolkata,IST,4.717143,-0.21714306,-0.04603275,7.75,-3.25,-0.41935483,1.9,2.6,1.3684211,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.19999981,-4.2553153,4.9,4.5,4.4,4.7,76946,15,5.4116197,-0.91161966,-0.16845597,41.935483870967744
CAPTRUST.NS,CAPITAL TRUST LTD.,117.35,2021-07-05 07:33:28,111.15,0,74572,20753,110.65,0,INR,NSI,Asia/Kolkata,IST,95.23,22.119995,0.23227969,149,-31.650002,-0.21241611,50,67.35,1.347,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,5.699997,5.105237,119.3,109,114,111.65,17431,15,95.26338,22.086617,0.23184791,21.241610738255037
CAREERP.NS,CAREER POINT LTD,140.45,2021-07-05 07:34:14,142.85,0,215613,121155,142.55,0,INR,NSI,Asia/Kolkata,IST,139.38571,1.0642853,0.007635541,191,-50.550003,-0.2646597,117.5,22.949997,0.19531912,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-1.800003,-1.26538,143.55,139.25,136.55,142.25,55775,15,145.02184,-4.5718384,-0.031525172,26.46596858638744
CEATLTD.NS,CEAT LTD,1357.6,2021-07-05 07:34:36,1358.8,0,112291,240369,1357.95,0,INR,NSI,Asia/Kolkata,IST,1337.0057,20.594238,0.015403253,1763,-405.40002,-0.22994897,835,522.6,0.62586826,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.15002441,0.01105193,1366,1353.35,1374.8,1357.45,38050,15,1401.7186,-44.118652,-0.031474683,22.994895065229727
CENTUM.NS,CENTUM ELECTRONICS,435.2,2021-07-05 07:34:49,397.45,0,7967,11347,396,0,INR,NSI,Asia/Kolkata,IST,407.76715,27.432861,0.0672758,487.15,-51.94998,-0.10664063,260,175.20001,0.6738462,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,41.100006,10.428826,444.9,394.3,395.65,394.1,66284,15,413.6028,21.597198,0.05221724,10.664066509288718
CLSEL.NS,Chaman Lal Setia Exp Ltd,137.05,2021-07-05 07:34:53,127.15,0,91707,150516,127,0,INR,NSI,Asia/Kolkata,IST,129.21571,7.8342896,0.060629543,142,-4.949997,-0.034859132,120,17.050003,0.14208336,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,9.400002,7.3638864,140,125.5,126.8,127.65,460600,15,129.39473,7.6552734,0.059162173,3.4859154929577385
COUNCODOS.NS,COUNTRY CONDO'S,2.95,2021-07-05 07:32:50,2.95,0,167025,121472,2.85,0,INR,NSI,Asia/Kolkata,IST,2.7514286,0.19857144,0.0721703,4.8,-1.8500001,-0.3854167,1.1,1.85,1.6818181,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.049999952,1.7241362,3,2.9,2.85,2.9,106017,15,2.8228874,0.12711263,0.045029294,38.541666666666664
CREATIVEYE.NS,CREATIVE EYE LTD,2.9,2021-07-05 06:44:04,3,0,893,1339,2.85,0,INR,NSI,Asia/Kolkata,IST,2.9871428,-0.087142706,-0.029172594,4.6,-1.6999998,-0.3695652,1.35,1.5500001,1.1481482,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.099999905,-3.3333302,2.9,2.9,3,3,1310,15,3.0897887,-0.18978858,-0.061424453,36.95652173913043
CTE.NS,CAMBRIDGE TECH ENT,41.4,2021-07-05 07:26:01,0,0,54534,36061,0,0,INR,NSI,Asia/Kolkata,IST,34.33286,7.0671425,0.20584194,53.5,-12.099998,-0.2261682,14.6,26.800001,1.8356165,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,1.9500008,4.942968,41.4,41.4,39.45,39.45,18474,15,35.070774,6.3292274,0.18047014,22.616822429906545
