symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
AHLADA.NS,Ahlada Engineers Limited,213.6,2021-07-02 09:59:53,0,0,0,0,0,0,INR,NSI,Asia/Kolkata,IST,70,143.6,2.0514286,225.2,-11.599991,-0.05150973,39.9,173.70001,4.3533835,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-0.8999939,-0.4195776,225.2,211,224,214.5,111848,15,71.60486,141.99515,1.983038,5.150976909413853
AHLWEST.NS,ASIAN HOTELS (WEST,228.8,2021-07-02 09:59:07,0,0,11869,15856,0,0,INR,NSI,Asia/Kolkata,IST,217.36389,11.436111,0.052612748,339.4,-110.59999,-0.32586917,191,37.800003,0.19790578,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,6.25,2.8083575,231.45,221.6,221.6,222.55,10910,15,230.81111,-2.0111084,-0.008713222,32.58691809074837

AKASH.NS,Akash Infra-Projects Ltd,239.85,2021-07-02 09:59:55,0,0,90972,43256,0,0,INR,NSI,Asia/Kolkata,IST,218.37361,21.476395,0.09834702,281,-41.149994,-0.14644127,97,142.85,1.4726804,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-2.75,-1.1335531,247,226.7,244.8,242.6,57290,15,220.93369,18.91632,0.085619904,14.644128113879006
ALCHEM.NS,ALCHEMIST LTD,3.7,2021-06-28 09:57:49,0,0,1349,4067,0,0,INR,NSI,Asia/Kolkata,IST,3.4,0.29999995,0.088235274,11.45,-7.75,-0.6768559,3.05,0.6500001,0.21311478,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0.049999952,1.3698617,3.7,3.4,3.5,3.65,10794,15,4.3475695,-0.6475694,-0.14894976,67.68558951965065
AMARAJABAT.NS,AMARA RAJA BATTERI,746.55,2021-07-02 09:59:58,0,0,687329,1918239,0,0,INR,NSI,Asia/Kolkata,IST,757.5306,-10.980591,-0.014495244,1025.55,-279.00006,-0.2720492,663.95,82.599976,0.12440692,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,1.7000122,0.22823553,752,745,747.15,744.85,579169,15,859.55835,-113.00836,-0.13147259,27.20491443615621
AMBER.NS,AMBER ENTERPRISES,2956.5,2021-07-02 09:59:57,0,0,227681,103741,0,0,INR,NSI,Asia/Kolkata,IST,2842.4473,114.052734,0.040124837,3662,-705.5,-0.19265428,1442.3,1514.2,1.0498508,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,44.600098,1.5316494,2990,2870.9,2915,2911.9,287473,15,2916.9011,39.598877,0.013575667,19.265428727471328
ANSALAPI.NS,ANSAL PROPS & INFR,7.95,2021-07-02 09:59:09,0,0,208172,240436,0,0,INR,NSI,Asia/Kolkata,IST,7.3722224,0.5777774,0.07837221,13.55,-5.6000004,-0.41328415,3.6,4.35,1.2083334,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-0.15000057,-1.8518587,8.25,7.75,8.25,8.1,121028,15,7.609722,0.34027767,0.044716176,41.328413284132836
APLLTD.NS,ALEMBIC PHARMACEUT,985,2021-07-02 10:00:00,0,0,228709,429297,0,0,INR,NSI,Asia/Kolkata,IST,970.1111,14.888916,0.01534764,1145,-160,-0.139738,864.3,120.70001,0.1396506,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,5.3499756,0.54611087,998,981.45,988.6,979.65,232279,15,978.06287,6.937134,0.007092728,13.973799126637555
ARCOTECH.NS,ARCOTECH LTD,1.65,2021-06-28 09:25:18,0,0,7553,18218,0,0,INR,NSI,Asia/Kolkata,IST,1.5416666,0.10833335,0.070270285,4.1,-2.4499998,-0.59756094,1.4,0.25,0.17857143,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0,0,1.65,1.6,1.65,1.65,60424,15,1.9829861,-0.33298612,-0.16792156,59.75609756097561
