symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
AHLADA.NS,Ahlada Engineers Limited,168.05,2021-06-25 09:59:57,0,0,0,0,0,0,INR,NSI,Asia/Kolkata,IST,70,98.05,1.4007143,174.9,-6.849991,-0.039165188,39.9,128.15,3.211779,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-1.199997,-0.7090085,174.9,167,169.1,169.25,25400,15,72.07028,95.97972,1.3317517,3.916523727844479
AHLWEST.NS,ASIAN HOTELS (WEST,218.25,2021-06-25 09:59:26,0,0,9573,15877,0,0,INR,NSI,Asia/Kolkata,IST,214.3843,3.8657074,0.018031674,339.4,-121.149994,-0.35695344,191,27.25,0.14267015,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,2.350006,1.0884697,219.9,215.3,215.45,215.9,8293,15,232.56119,-14.311188,-0.0615373,35.695344725987034

AKASH.NS,Akash Infra-Projects Ltd,227.75,2021-06-25 09:57:37,0,0,94286,40521,0,0,INR,NSI,Asia/Kolkata,IST,217.92,9.830002,0.045108307,281,-53.25,-0.18950178,85,142.75,1.6794118,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,3.75,1.6741071,232.7,220.25,222.25,224,98099,15,221.48357,6.2664337,0.028292997,18.95017793594306
AKZOINDIA.NS,AKZO NOBEL INDIA,2310.65,2021-06-25 09:59:53,0,0,17117,17101,0,0,INR,NSI,Asia/Kolkata,IST,2261.1985,49.451416,0.02186956,2530,-219.3501,-0.08669964,1795,515.6499,0.28727013,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-31.650146,-1.3512422,2355,2294,2354,2342.3,26823,15,2270.157,40.49292,0.017837057,8.669960474308297
ALCHEM.NS,ALCHEMIST LTD,3.55,2021-06-21 09:57:47,0,0,1272,4595,0,0,INR,NSI,Asia/Kolkata,IST,3.3642857,0.18571424,0.055201687,11.45,-7.8999996,-0.6899563,3.05,0.5,0.16393442,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0,0,3.6,3.5,3.5,3.55,8907,15,4.5055943,-0.9555943,-0.21209063,68.99563318777292
AMARAJABAT.NS,AMARA RAJA BATTERI,745.25,2021-06-25 09:59:59,0,0,1059940,1952258,0,0,INR,NSI,Asia/Kolkata,IST,763.29,-18.039978,-0.0236345,1025.55,-280.30005,-0.2733168,635.8,109.45001,0.17214535,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,3.9500122,0.5328494,747.25,738.7,741.95,741.3,662644,15,865.61017,-120.36017,-0.13904662,27.33167568621715
AMBER.NS,AMBER ENTERPRISES,2929.8,2021-06-25 10:00:00,0,0,204499,100456,0,0,INR,NSI,Asia/Kolkata,IST,2844.71,85.09009,0.029911691,3662,-732.19995,-0.19994538,1425,1504.8,1.056,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-44.149902,-1.4845544,3030,2907,2985,2973.95,198982,15,2899.6826,30.117432,0.010386458,19.99453850354997
ANSALAPI.NS,ANSAL PROPS & INFR,8.15,2021-06-25 09:56:49,0,0,230475,252756,0,0,INR,NSI,Asia/Kolkata,IST,7.102857,1.0471425,0.14742553,13.55,-5.4000006,-0.39852402,3.6,4.5499997,1.2638888,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-0.10000038,-1.2121258,8.4,8.1,8.35,8.25,149601,15,7.560839,0.58916044,0.07792263,39.85239852398524
APLLTD.NS,ALEMBIC PHARMACEUT,981.2,2021-06-25 09:59:49,0,0,266185,442551,0,0,INR,NSI,Asia/Kolkata,IST,965.74713,15.452881,0.01600096,1145,-163.79999,-0.14305677,864.3,116.900024,0.135254,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,3.9000244,0.39906114,992.35,971.45,980,977.3,137154,15,980.36365,0.83636475,0.00085311686,14.305676855895193
APOLLO.NS,APOLLO MICRO SYSTE,114.6,2021-06-25 10:00:00,0,0,140826,303877,0,0,INR,NSI,Asia/Kolkata,IST,112.50429,2.0957108,0.01862783,155.9,-41.299995,-0.26491338,86.5,28.099998,0.32485548,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0.29999542,0.26246318,116.7,114.1,115.95,114.3,86000,15,112.51748,2.0825195,0.018508408,26.491340602950615
ARCOTECH.NS,ARCOTECH LTD,1.6,2021-06-21 09:58:36,0,0,26832,17945,0,0,INR,NSI,Asia/Kolkata,IST,1.5214286,0.07857144,0.0516432,4.1,-2.5,-0.6097561,1.4,0.20000005,0.14285718,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0,0,1.6,1.5,1.6,1.6,187827,15,2.016084,-0.41608393,-0.20638224,60.975609756097555
ARMANFIN.NS,ARMAN FINANCIAL SE,633.5,2021-06-25 09:59:44,0,0,64253,17401,0,0,INR,NSI,Asia/Kolkata,IST,605.23285,28.26715,0.046704587,817,-183.5,-0.22460221,429,204.5,0.47668996,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-26.549988,-4.022421,650,625,650,660.05,42518,15,641.4213,-7.9213257,-0.012349645,22.460220318237454
ARVINDFASN.NS,ARVIND FASHIONS LT,139.05,2021-06-25 10:00:01,0,0,389192,378926,0,0,INR,NSI,Asia/Kolkata,IST,141.32,-2.2700043,-0.016062865,182.85,-43.800003,-0.23954062,116.72639,22.323616,0.19124739,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-0.19999695,-0.14362438,140.5,138.2,139.25,139.25,292284,15,147.00328,-7.9532776,-0.054102723,23.9540607054963
ASHOKA.NS,ASHOKA BUILDCON LT,104.4,2021-06-25 09:59:59,0,0,3571968,2281945,0,0,INR,NSI,Asia/Kolkata,IST,93.582855,10.817146,0.11558898,118.6,-14.199997,-0.11973016,50,54.4,1.088,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0.9000015,0.8695667,107.5,103.3,104.2,103.5,4615017,15,96.31014,8.089859,0.083997995,11.97301854974704
ASIANTILES.NS,ASIAN GRANITO INDI,179.5,2021-06-25 09:59:58,0,0,863770,751932,0,0,INR,NSI,Asia/Kolkata,IST,181.53714,-2.03714,-0.011221615,314.9,-135.4,-0.42997774,138.15,41.350006,0.2993124,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,6.149994,3.547732,186.5,175.1,175.1,173.35,832582,15,212.7556,-33.2556,-0.15630893,42.99777707208637
ASTRAZEN.NS,ASTREZENECA PHARMA,3641.75,2021-06-25 09:59:57,0,0,18130,116439,0,0,INR,NSI,Asia/Kolkata,IST,3770.5356,-128.78564,-0.034155797,4970,-1328.25,-0.26725352,3005,636.75,0.21189684,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,-7.8999023,-0.21645643,3675,3635,3675,3649.65,10189,15,3797.361,-155.61108,-0.040978745,26.725352112676056
ATLASCYCLE.NS,ATLAS CYCLES(HARYA,32.35,2021-06-21 09:58:51,0,0,1360,1771,0,0,INR,NSI,Asia/Kolkata,IST,29.792856,2.5571423,0.08583072,60.25,-27.900002,-0.46307057,24.6,7.749998,0.31504056,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0,0,32.35,31,31.3,32.35,9520,15,32.673775,-0.32377625,-0.009909362,46.30705394190871
BCP.NS,B.C. Power Controls Ltd,3.85,2021-06-25 09:59:32,0,0,505785,538525,0,0,INR,NSI,Asia/Kolkata,IST,3.652857,0.19714284,0.05396949,8.7,-4.85,-0.5574713,2.85,1,0.3508772,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0,0,3.95,3.8,3.85,3.85,189001,15,4.701049,-0.85104895,-0.18103385,55.747126436781606
BESTAGRO.NS,Best Agrolife Limited,317.1,2021-06-25 09:59:57,0,0,42776,91636,0,0,INR,NSI,Asia/Kolkata,IST,289.40286,27.697144,0.09570446,600,-282.9,-0.47149998,202.35,114.75,0.5670867,NSE,19800000,false,in_market,CLOSED,0,0,0,<null>,0,0,0,<null>,15,Delayed Quote,EQUITY,0.05001831,0.01577616,319.9,310.5,314.1,317.05,27592,15,367.0611,-49.96109,-0.1361111,47.14999999999999
