symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,23.572258064516134,23692.6,31000,18024.25,24532.701,24987.469,23970,24000.05,23500,23922.7,1898
AARTIDRUGS.NS,AARTI DRUGS LTD,37.26568966356688,644.25,1026.95,510.25,704.13196,708.6546,651.35,653,632.05,650.35,199965
ADANIGREEN.NS,ADANI GREEN ENERGY,35.143884892086334,901.5,1390,351,995.6278,1107.6807,908.4,912,875,908.4,2606118
ADANIPORTS.NS,ADANI PORT SPECIAL,22.402885682574922,699.15,901,312.1,698.4,711.33453,693.4,705,684.55,693,6296846
AFFLE.NS,Affle (India) Limited,34.73785527351985,4102.15,6285.65,2050,4356.9165,4986.2314,4188,4190,4100,4163.45,39947
AGCNET.NS,AGC NETWORKS LTD,35.394285714285715,1130.6,1750,302,1196.9277,1220.6398,1149.9,1149.9,1084.85,1141.9,3417
AKASH.NS,Akash Infra-Projects Ltd,35.80071174377224,180.4,281,157.9,214.39444,215.25352,190,190,176.45,184.4,56258
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7055554,3.7545774,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,29.86202525474136,719.3,1025.55,693.15,731.49164,813.3183,724,728.7,706.5,723.4,738054
AMBER.NS,AMBER ENTERPRISES,22.562807209175315,2835.75,3662,1642.2,2980.8972,3027.45,2820,2860,2732.05,2866.75,68214
ANMOL.NS,Anmol India Limited,6.677524429967424,200.55,214.9,136,162.50555,162.64896,190.15,205,177.5,192.15,40800
APLLTD.NS,ALEMBIC PHARMACEUT,33.432314410480345,762.2,1145,744.3,914.1583,944.5655,774.75,774.75,744.3,769.15,510873
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.7652777,1.7922535,1.95,1.95,1.95,1.95,27292
