symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,24.124354838709674,23521.45,31000,18024.25,24532.701,24987.469,23970,24000.05,23500,23922.7,674
AARTIDRUGS.NS,AARTI DRUGS LTD,38.21510297482838,634.5,1026.95,510.25,704.13196,708.6546,651.35,653,632.05,650.35,116175
ADANIGREEN.NS,ADANI GREEN ENERGY,36.827338129496404,878.1,1390,351,995.6278,1107.6807,908.4,909,875,908.4,498282
ADANIPORTS.NS,ADANI PORT SPECIAL,23.55715871254162,688.75,901,312.1,698.4,711.33453,693.4,705,687,693,2789123
AFFLE.NS,Affle (India) Limited,34.612967632623516,4110,6285.65,2050,4356.9165,4986.2314,4188,4190,4100,4163.45,16729
AGCNET.NS,AGC NETWORKS LTD,37.142857142857146,1100,1750,302,1196.9277,1220.6398,1149.9,1149.9,1084.85,1141.9,2738
AKASH.NS,Akash Infra-Projects Ltd,35.99644128113879,179.85,281,157.9,214.39444,215.25352,190,190,176.45,184.4,2120
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7055554,3.7545774,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,31.012627370679144,707.5,1025.55,693.15,731.49164,813.3183,724,728.7,706.5,723.4,338267
AMBER.NS,AMBER ENTERPRISES,24.22173675587111,2775,3662,1642.2,2980.8972,3027.45,2820,2860,2732.05,2866.75,39263
ANMOL.NS,Anmol India Limited,14.75104699860401,183.2,214.9,136,162.50555,162.64896,190.15,191.55,177.5,192.15,17718
APLLTD.NS,ALEMBIC PHARMACEUT,34.379912663755455,751.35,1145,744.3,914.1583,944.5655,774.75,774.75,744.3,769.15,248151
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.7652777,1.7922535,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,40.8187134502924,25.3,42.75,9.45,31.020834,31.587677,26.25,28.15,25.3,26.25,94155
ASIANTILES.NS,ASIAN GRANITO INDI,47.84058431248015,164.25,314.9,138.15,180.28195,188.26619,169,171.15,163.5,169.4,134889
ASTRAZEN.NS,ASTREZENECA PHARMA,36.23541247484909,3169.1,4970,3005,3519.9695,3603.5122,3272.8,3289.8,3164.05,3272.2,16245
ATGL.NS,ADANI TOTAL GAS LIMITED,49.374627754615844,850,1679,155.3,956.49445,967.89087,880,890.35,843,886.4,117332
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,62.70207852193996,16.15,43.3,15.3,16.566668,23.090492,17.2,17.2,16.15,16.15,14946
BANDHANBNK.NS,BANDHAN BANK LTD,32.5052240538658,290.7,430.7,251.4,313.4639,322.59015,297,298.4,290.5,296.25,1246895
BANKA.NS,Banka BioLoo Limited,21.862348178137655,67.55,86.45,27.9,68.1125,68.74542,68.9,74.4,67.5,71.5,10478
BCP.NS,B.C. Power Controls Ltd,57.47126436781608,3.7,8.7,2.85,3.8555555,3.9816902,3.75,3.85,3.65,3.85,145635
BHARTIARTL.NS,BHARTI AIRTEL LTD,1.2157330154946329,621.6,629.25,394,546.5375,546.67004,622.2,629.25,618.05,622.2,8464553
BIOCON.NS,BIOCON LTD,24.387493593029212,368.8,487.75,363.25,394.59167,396.06796,379.95,379.95,366.05,379,1290958
BIOFILCHEM.NS,BIOFIL CHEMICALS &,81.99943836001123,64.1,356.1,27,70.9,74.639084,67.95,67.95,64,66.95,22286
BLISSGVS.NS,BLISS GVS PHARMA,50.633484162895925,109.1,221,91.65,112.388885,125.700356,113.6,114.5,108.25,113.25,302335
BLUESTARCO.NS,BLUE STAR,17.45852959246365,806.1,976.6,513.15,842.4861,845.6317,818.25,818.25,797,818.25,28043
CANDC.NS,C & C CONSTRUCTION,53.5483870967742,3.6,7.75,1.95,4.070833,4.873944,3.45,3.6,3.35,3.5,12203
CEATLTD.NS,CEAT LTD,27.6091888825865,1276.25,1763,861,1358.0917,1438.9802,1315.85,1315.85,1274.05,1315.85,71629
CHOLAFIN.NS,CHOLAMANDALAM INV,16.931525085281645,499.2,600.95,202.15,512.1889,527.7303,509,512,494.65,510.5,730168
CUB.NS,CITY UNION BANK,25.049999999999997,149.9,200,116.55,159.67917,165.48627,152.55,153.65,149.25,153.1,592240
DCBBANK.NS,DCB BANK LIMITED,29.051383399209485,89.75,126.5,74.3,103.49306,104.41796,92.2,92.8,89.35,92.1,510444
DHANI.NS,DHANI SERVICES LIMITED,54.74176032327314,179.2,395.95,150.35,199.99167,231.94965,186,187.95,175,182.3,437676
DHFL.NS,DEWAN HOUSING FIN,61.026837806301046,16.7,42.85,12.05,16.7,17.273943,16.7,16.7,16.7,16.7,2454074
DQE.NS,DQ ENTERTAINMENT I,39.39393939393939,1,1.65,0.85,0.98888886,1.0320423,0.95,1,0.9,0.95,103267
ENGINERSIN.NS,ENGINEERS INDIA,22.82958199356913,72,93.3,60.4,77.33195,77.76092,73,73.4,71,73.15,764339
EROSMEDIA.NS,EROS INTL MEDIA,49.525101763907735,18.6,36.85,17.75,25.269444,25.790846,19.35,19.7,18.5,19.25,304913
ESCORTS.NS,ESCORTS,15.1077666927713,1246.6,1468.45,1077.4,1190.1973,1236.4916,1270,1278.9,1238.5,1270,1092786
EXIDEIND.NS,EXIDE INDUSTRIES,23.939808481532147,166.8,219.3,153.6,179.61389,188.75845,167.9,168.8,165,167.2,865502
GANECOS.NS,GANESHA ECOSPHERE,25.46114742193173,513.2,688.5,223,520.4347,553.013,519.5,519.5,502,513.35,13185
GFLLIMITED.NS,GFL LIMITED,32.92864378633996,65.25,97.28445,62.451668,70.08889,73.15437,68.2,70.05,64.5,67.9,52354
GICRE.NS,GENERAL INSURANCE,33.02620802620802,163.55,244.2,115,186.82361,189.83415,168.9,169.5,163,167.6,258169
GLOBE.NS,Globe Textiles (I) Ltd.,0,12.85,12.85,3.066666,3.3733325,3.373333,12.85,12.85,12.85,13.5,17324
GOENKA.NS,GOENKA DIAMOND & J,50,1.2,2.4,0.55,1.3083333,1.5066901,1.2,1.2,1.15,1.2,137587
GULFOILLUB.NS,GULF OIL LUBRICANT,27.589073634204272,609.7,842,603.25,667.00555,703.9838,625,639,608.3,625.7,19433
HATHWAY.NS,HATHWAY CABLE & DA,37.435897435897445,24.4,39,20.55,26.413889,26.792253,25.4,25.65,24.1,25.45,3963833
HDFC.NS,HOUSING DEVEL FIN,8.494475138121548,2650,2896,1623,2511.45,2541.9268,2675,2689.5,2647.55,2671.65,805523
HDFCAMC.NS,HDFC ASSET MANAGEM,14.351424573521097,2876.85,3358.9,2070.05,2923.0903,2926.8477,2994.1,3001.6,2866,2984.4,193849
HDFCBANK.NS,HDFC BANK,8.753808653260213,1497.35,1641,1020.2,1480.1666,1485.6968,1514.9,1518.85,1492.4,1507.65,2850967
HDFCLIFE.NS,HDFC LIFE INSURANC,11.139410187667563,662.9,746,555.95,681.7389,687.31866,669.6,671.9,661.35,670.3,664419
HEMIPROP.NS,Hemisphere Prop Ind Ltd,35.30723488602577,130.55,201.8,54.4,145.02916,147.625,136.9,137.5,128.9,136.7,626411
HEROMOTOCO.NS,HERO MOTOCORP LTD,23.814772461112412,2764.8,3629.05,2705.3,2866.1042,3039.5852,2810,2814.85,2753.35,2797.05,191707
HNDFDS.NS,Hindustan Foods Limited,29.166020170674948,1826.1,2578,692.1,1980.0736,2027.8687,1911.35,1929.9,1815.55,1911.1,3042
HONAUT.NS,HONEYWELL AUTO IND,19.81996399279856,40082,49990,27850,42041.566,43110.945,41340,41340,39888,40914.05,4512
IDEA.NS,VODAFONE IDEA LTD,53.6231884057971,6.4,13.8,4.55,8.679167,9.559507,6.6,6.75,6.3,6.65,140034106
IDFCFIRSTB.NS,IDFC FIRST BANK,36.075036075036074,44.3,69.3,26.85,52.856945,55.888027,45.9,46.15,44.1,45.85,23101119
IFBIND.NS,IFB INDUSTRIES LTD,37.80357974582474,934.75,1502.9,382.9,1029.3112,1103.437,928.6,939.95,923.25,923.95,16926
INDIAMART.NS,IndiaMART InterMESH Ltd,28.387939698492467,7125.4,9950,2876,7206.564,7771.688,7400,7400,7080,7354.25,20620
INDLMETER.NS,IMP POWERS LTD,40.229885057471265,13,21.75,11,14.363889,14.988732,12.7,13.5,12.65,13.3,18982
INDUSTOWER.NS,INDUS TOWERS LIMITED,25.137095347603037,211.6,282.65,162.2,230.78195,246.05493,211,214,210.1,211.1,1022401
ITC.NS,ITC LTD,12.938963210702338,208.25,239.2,163.35,206.2889,209.81796,209.85,210.6,207.45,209.85,7973491
JCHAC.NS,JOHNSON CONTROLS-H,25.62244897959184,2186.7,2940,2015.25,2260.075,2406.9546,2242,2242,2176.6,2230.8,5593
JETAIRWAYS.NS,JET AIRWAYS INDIA,55.12065921130076,76.25,169.9,23.65,92.647224,97.07218,76,79.8,74.8,76.75,41354
JUBLPHARMA.NS,JUBILANT PHARMOVA LTD,38.23823823823824,617,999,509.54782,709.3014,763.3648,637,641.05,615.95,636.85,152896
KAPSTON.NS,Kapston Facilities Mgmt L,38.33269889607917,81,131.35,73.15,88.798615,94.65598,81,81,81,85.05,100
KARURVYSYA.NS,KARUR VYSYA BANK,32.37800154918668,43.65,64.55,29.3,50.033333,53.89014,45,45.3,43.6,44.85,736821
KELLTONTEC.NS,KELLTON TECH SOLU,45.869565217391305,49.8,92,18.6,62.480556,69.56549,53,53.35,49.3,53,536019
