symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
3MINDIA.NS,3M INDIA LTD,20.655322580645166,24596.85,31000,18024.25,24480.486,24978.414,23810,24966.15,23704.85,23692.6,11645
AARTIDRUGS.NS,AARTI DRUGS LTD,35.99980524855154,657.25,1026.95,518.3,702.13055,708.2042,648.15,662,645.2,644.25,145267
ADANIGREEN.NS,ADANI GREEN ENERGY,34.266187050359704,913.7,1390,351,988.24164,1106.2388,890,920,885,901.5,2615215
ADANIPORTS.NS,ADANI PORT SPECIAL,21.859045504994455,704.05,901,312.1,697.1847,711.2493,701,710.4,700,699.15,5066293
ADANITRANS.NS,ADANI TRANSMISS.IN,41.940484513207096,955.05,1644.95,230.1,991.1055,995.07306,950,959,918,946.7,58512
AFFLE.NS,Affle (India) Limited,34.11978077048515,4141,6285.65,2060,4343.1973,4980.049,4100,4200,4060.8,4102.15,239926
AGCNET.NS,AGC NETWORKS LTD,35.371428571428574,1131,1750,302,1193.9569,1220.0101,1090.1,1149.85,1074.1,1130.6,1134
AKASH.NS,Akash Infra-Projects Ltd,36.10320284697508,179.55,281,157.9,213.31667,215.0098,183.3,185.95,175.55,180.4,42223
ALCHEM.NS,ALCHEMIST LTD,68.5589519650655,3.6,11.45,3.05,3.7069445,3.7534964,3.8,3.8,3.6,3.6,5916
AMARAJABAT.NS,AMARA RAJA BATTERI,28.86743698503242,729.5,1025.55,693.15,730.7208,812.6608,724,733,720.7,719.3,637547
AMBER.NS,AMBER ENTERPRISES,20.155652648825775,2923.9,3662,1655,2982.4028,3026.1094,2859.7,2942.5,2858.45,2835.75,47885
APLLTD.NS,ALEMBIC PHARMACEUT,33.82532751091703,757.7,1145,744.3,907.5958,943.2902,760,766.05,753.55,762.2,275169
ARCOTECH.NS,ARCOTECH LTD,41.7910447761194,1.95,3.35,1.4,1.775,1.7933567,1.95,1.95,1.95,1.95,27292
ARSHIYA.NS,ARSHIYA LIMITED,37.42690058479532,26.75,42.75,9.55,30.922222,31.553146,26.05,27.7,26.05,26.65,21840
ASIANTILES.NS,ASIAN GRANITO INDI,45.47475389012384,171.7,314.9,138.15,179.94722,188.11119,170,173.5,169,166.1,199982
ASTRAZEN.NS,ASTREZENECA PHARMA,35.59456740442656,3200.95,4970,3005,3505.6973,3600.5435,3178,3219,3170.75,3178.95,11326
ATGL.NS,ADANI TOTAL GAS LIMITED,45.92019058963669,908,1679,155.3,942.9583,967.4168,894.55,911.55,885,900.1,97456
AUTOLITIND.NS,AUTOLITE (INDIA) LIMITED,62.70207852193996,16.15,43.3,15.3,16.566668,23.041958,17.2,17.2,16.15,16.15,14946
BANDHANBNK.NS,BANDHAN BANK LTD,31.51845832365916,294.95,430.7,251.4,312.15973,322.3986,295.2,296.7,292.4,295.2,3762339
BANKA.NS,Banka BioLoo Limited,17.004048582995953,71.75,86.45,27.9,68.15139,68.75944,73.65,73.7,70.4,70.75,6614
BCP.NS,B.C. Power Controls Ltd,54.02298850574712,4,8.7,2.85,3.848611,3.9800699,3.75,4.05,3.75,3.75,602152
BIOCON.NS,BIOCON LTD,23.23936442849821,374.4,487.75,363.25,393.79443,395.9042,373,375.7,371.15,372.65,876213
BIOFILCHEM.NS,BIOFIL CHEMICALS &,81.15697837686042,67.1,356.1,28.4,70.85139,74.58566,67,68.45,66.2,67,19515
BLISSGVS.NS,BLISS GVS PHARMA,48.41628959276018,114,221,91.65,112.486115,125.612236,113.75,116.5,113.4,113.1,565986
BLUESTARCO.NS,BLUE STAR,16.967028466106903,810.9,976.6,513.15,842.2222,845.3619,808,820,790.55,807.05,47706
CANDC.NS,C & C CONSTRUCTION,54.193548387096776,3.55,7.75,1.95,4.0430555,4.8646855,3.45,3.7,3.4,3.55,22693
CEATLTD.NS,CEAT LTD,25.207033465683498,1318.6,1763,861,1356.3167,1437.914,1298,1325,1286.5,1286.5,114598
CHOLAFIN.NS,CHOLAMANDALAM INV,14.801564190032453,512,600.95,210.1,511.06946,527.5472,503,516.5,498.35,501.55,1556512
CUB.NS,CITY UNION BANK,24.025000000000006,151.95,200,116.55,159.36528,165.393,152.85,153.55,151.05,152.15,773225
DCBBANK.NS,DCB BANK LIMITED,27.312252964426875,91.95,126.5,74.3,103.03611,104.325874,92.8,92.8,91.1,91.25,884692
DHANI.NS,DHANI SERVICES LIMITED,46.26846824093951,212.75,395.95,155.1,200.42223,231.71573,202.5,215.9,196.6,198.5,2537183
DHFL.NS,DEWAN HOUSING FIN,61.026837806301046,16.7,42.85,12.05,16.7,17.26993,16.7,16.7,16.7,16.7,2454074
DQE.NS,DQ ENTERTAINMENT I,39.39393939393939,1,1.65,0.85,0.9861111,1.0314685,0.95,1,0.9,0.95,103267
ENGINERSIN.NS,ENGINEERS INDIA,22.88317256162915,71.95,93.3,60.4,77.077774,77.725876,73.1,73.4,71.8,72.75,2798816
EROSMEDIA.NS,EROS INTL MEDIA,46.26865671641791,19.8,36.85,17.75,24.98611,25.742657,19,19.8,19,18.9,517662
ESCORTS.NS,ESCORTS,13.84452994654227,1265.15,1468.45,1077.4,1192.7556,1236.6692,1261.9,1274.2,1251.9,1261.9,1085551
EXIDEIND.NS,EXIDE INDUSTRIES,23.48381212950296,167.8,219.3,153.6,179.15,188.62132,169.85,170.8,167.5,169.15,3866137
GANECOS.NS,GANESHA ECOSPHERE,22.962962962962965,530.4,688.5,223,520.00555,552.74023,521.95,533.95,516.95,514,20070
GFLLIMITED.NS,GFL LIMITED,28.405824363503108,69.65,97.28445,62.451668,69.97083,73.11763,68,70,68,67.9,66022
GICRE.NS,GENERAL INSURANCE,31.83865683865684,166.45,244.2,115,185.84584,189.6556,165,167.95,164.1,164.3,384166
GLOBE.NS,Globe Textiles (I) Ltd.,0,12.25,12.25,3.066666,3.3733325,3.3733327,12.25,12.25,12.25,12.85,61149
GOENKA.NS,GOENKA DIAMOND & J,52.083333333333336,1.15,2.4,0.55,1.3041667,1.5045455,1.15,1.2,1.15,1.2,240784
GULFOILLUB.NS,GULF OIL LUBRICANT,27.197149643705462,613,842,603.25,664.76807,703.35034,621,630,611,613.4,43659
HATHWAY.NS,HATHWAY CABLE & DA,34.24124513618676,25.35,38.55,20.55,26.352777,26.777273,24.85,25.45,24.65,24.65,3456519
HDFC.NS,HOUSING DEVEL FIN,7.8470303867403315,2668.75,2896,1623,2515.2166,2542.742,2656.6,2675.25,2646.6,2658.5,1701840
HDFCAMC.NS,HDFC ASSET MANAGEM,11.560332251630001,2970.6,3358.9,2070.05,2922.6763,2926.9832,2939,2973.95,2925.05,2946.25,181401
HDFCBANK.NS,HDFC BANK,8.507007921998776,1501.4,1641,1020.2,1480.4764,1485.7616,1497,1507.6,1489.3,1494.95,4298099
