symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
SANCO.NS,SANCO IND LIMITED,58.83720930232558,8.85,21.5,6.9,9.951389,10.513287,9.1,9.15,8.3,8.75,31060
SATIN.NS,SATIN CREDIT CARE,28.96368467670505,80.2,112.9,51.25,87.7625,87.828674,80.25,81,79.05,80.2,77103
SBICARD.NS,SBI CARDS & PAYMEN,9.271610355419051,1033.85,1139.5,753.05,993.6542,1001.8783,1032,1038.9,1019,1032.6,560404
SHIRPUR-G.NS,SHIRPUR GOLD REFIN,40.56603773584906,6.3,10.6,4.95,6.223611,6.4405594,5.7,6.3,5.7,5.7,158110
SHRENIK.NS,SHRENIK LTD,84.21052631578947,1.65,10.45,1.45,1.9694444,2.3034966,1.45,1.65,1.45,1.5,3042630
SILLYMONKS.NS,Silly Monks Entertain Ltd,36.08903020667726,20.1,31.45,18,21.555555,22.091957,20.3,20.3,19.7,19.55,1714
SIRCA.NS,Sirca Paint India Limited,11.614583333333337,339.4,384,220.1,334.07083,340.0423,329,344.9,324.9,324.95,139301
SORILINFRA.NS,SORIL INFRA RESOUR,47.398463227222834,119.8,227.75,54,136.38194,145.10175,113.95,121.5,112.45,112.4,61328
SRTRANSFIN.NS,SHRIRAM TRANSPORT,14.687774846086194,1309.5,1534.95,555.55,1378.093,1380.2126,1301.5,1319.5,1287.25,1295,764954
STAMPEDE.NS,STAMPEDE CAPITAL,18.75,0.65,0.8,0.4,0.71944445,0.75,0.75,0.75,0.65,0.65,977163
STAR.NS,STRIDES PHARMA SCI,33.32832832832833,666.05,999,551.1,765.24585,820.0696,677.35,683,665.25,677.15,514366
STINDIA.NS,STI INDIA,24.999999999999993,2.85,3.8,2.85,2.85,2.990909,2.85,2.85,2.85,2.85,125
SURYODAY.NS,Suryoday Small Fin Bk Ltd,36.730217648051294,187.5,296.35,182.45,210.01944,231.5692,183.45,188.7,183.45,183.3,78363
SUVENPHAR.NS,Suven Pharmaceuticals Ltd,8.3728813559322,540.6,590,291.6,495.03333,496.27414,537.7,552.1,530.2,535,299325
SUVIDHAA.NS,Suvidhaa Infoserve Ltd,80.25974025974025,22.8,115.5,19.3,25.26389,34.48073,21.3,23.4,19.3,21.3,313860
SYMPHONY.NS,SYMPHONY LTD,39.89076399790685,918.95,1528.8,820,1015.2278,1116.0934,935,935,915.05,918.85,31661
TATAMOTORS.NS,TATA MOTORS LTD.,15.315315315315315,305.5,360.75,120.15,311.61526,314.12552,297.3,306,297.3,295.45,29905687
TECHNOFAB.NS,TECHNOFAB ENGINEER,51.19047619047618,6.15,12.6,4.85,6.2291665,7.0003495,6.5,6.6,6.15,6.15,3509
TEXINFRA.NS,TEXMACO INFRA & HO,19.899874843554446,64,79.9,31.15,64.895836,68.29021,63.9,64.9,62.65,62.1,61213
TVSMOTOR.NS,TVS MOTOR CO,17.117117117117118,552,666,415.05,593.3611,599.04895,561,565.35,551.1,560.85,930598
TVVISION.NS,TV VISION LTD,17.460317460317455,2.6,3.15,1.15,2.098611,2.1227272,2.6,2.6,2.4,2.5,31680
UJJIVAN.NS,UJJIVAN FIN SERV,31.789676796912687,212.1,310.95,183.3,223.29723,223.33672,213,215.4,209.05,211.05,219664
UJJIVANSFB.NS,Ujjivan Small Financ Bank,41.143497757847534,26.25,44.6,25.1,29.591667,31.298601,25.75,26.3,25.6,25.55,2354907
UNICHEMLAB.NS,UNICHEM LABS,20.119999999999997,299.55,375,218.55,322.59027,323.58148,275.35,313.75,275.35,285.5,176642
UTTAMSTL.NS,UTTAM GALVA STEELS,55.76036866359447,4.8,10.85,3.7,4.938889,6.867832,4.6,4.8,4.45,4.6,337307
