symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
AHLADA.NS,Ahlada Engineers Limited,212,2021-07-06 07:34:31,211.85,0,0,0,210.7,0,INR,NSI,Asia/Kolkata,IST,70,142,2.0285714,213,-1,-0.0046948357,39.9,172.1,4.313283,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,9.050003,4.459228,213,194.05,200.05,202.95,102309,15,71.19397,140.80603,1.9777803,0.4694835680751174
AHLWEST.NS,ASIAN HOTELS (WEST,245.85,2021-07-06 07:33:03,246.6,0,14350,16079,246.05,0,INR,NSI,Asia/Kolkata,IST,217.94,27.910004,0.12806278,339.4,-93.54999,-0.27563345,191,54.850006,0.2871728,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,15.850006,6.891307,252,222.95,225,230,46802,15,229.82872,16.021286,0.06970968,27.5633470830878

AKASH.NS,Akash Infra-Projects Ltd,237,2021-07-06 07:34:28,237,0,74078,43089,236.65,0,INR,NSI,Asia/Kolkata,IST,218.25714,18.742859,0.085875124,281,-44,-0.15658364,99.5,137.5,1.3819095,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,11.5,5.099778,270.6,226.15,232,225.5,137364,15,220.37093,16.629074,0.07545947,15.658362989323843
ALCHEM.NS,ALCHEMIST LTD,3.8,2021-07-05 09:16:26,0,0,2158,3968,0,0,INR,NSI,Asia/Kolkata,IST,3.4,0.39999986,0.117647015,11.45,-7.6499996,-0.66812223,3.05,0.75,0.24590164,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0,0,3.8,3.5,3.7,3.8,19315,15,4.2177305,-0.41773057,-0.09904155,66.8122270742358
AMARAJABAT.NS,AMARA RAJA BATTERI,747.45,2021-07-06 07:34:30,747.4,0,630624,1942216,747.2,0,INR,NSI,Asia/Kolkata,IST,757.1643,-9.714294,-0.012829836,1025.55,-278.10004,-0.2711716,663.95,83.5,0.12576248,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-2.2999878,-0.30676728,752.95,745,752,749.75,458725,15,857.7043,-110.25427,-0.12854579,27.11715664765247
AMBER.NS,AMBER ENTERPRISES,3023.35,2021-07-06 07:34:31,3025.5,0,129557,104314,3023,0,INR,NSI,Asia/Kolkata,IST,2839.1943,184.15576,0.064861976,3662,-638.6499,-0.17439921,1442.3,1581.05,1.0962005,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-21.699951,-0.71263033,3069,3008.15,3055,3045.05,35454,15,2929.0776,94.27246,0.032185033,17.4399235390497
ANSALAPI.NS,ANSAL PROPS & INFR,8.4,2021-07-06 07:34:24,8.4,0,181893,235640,8.35,0,INR,NSI,Asia/Kolkata,IST,7.412857,0.98714256,0.13316627,13.55,-5.1500006,-0.38007385,3.6,4.7999997,1.3333333,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.19999981,2.439022,8.4,8.15,8.35,8.2,165486,15,7.617021,0.78297853,0.10279328,38.00738007380074
APLLTD.NS,ALEMBIC PHARMACEUT,993.7,2021-07-06 07:34:36,994.4,0,248988,431895,993.7,0,INR,NSI,Asia/Kolkata,IST,970.9986,22.701416,0.023379453,1145,-151.29999,-0.13213973,864.3,129.40002,0.14971657,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.6500244,0.065457374,999.9,990.7,991.85,993.05,107641,15,975.4202,18.279785,0.018740421,13.213973799126634
ARCOTECH.NS,ARCOTECH LTD,1.7,2021-07-05 09:46:19,0,0,12084,18461,0,0,INR,NSI,Asia/Kolkata,IST,1.5428572,0.15714288,0.101851866,3.65,-1.95,-0.53424656,1.4,0.30000007,0.21428578,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0,0,1.7,1.7,1.7,1.7,56201,15,1.9617021,-0.26170206,-0.13340561,53.42465753424658
