symbol,short_name,regular_market_price,regular_market_time,ask,ask_size,average_daily_volume_10_day,average_daily_volume_3_month,bid,bid_size,currency_id,exchange_id,exchange_timezone_name,exchange_timezone_short_name,fifty_day_average,fifty_day_average_change,fifty_day_average_change_percent,fifty_two_week_high,fifty_two_week_high_change,fifty_two_week_high_change_percent,fifty_two_week_low,fifty_two_week_low_change,fifty_two_week_low_change_percent,full_exchange_name,gmt_offset_milliseconds,is_tradeable,market_id,market_state,post_market_change,post_market_change_percent,post_market_price,post_market_time,pre_market_change,pre_market_change_percent,pre_market_price,pre_market_time,quote_delay,quote_source,quote_type,regular_market_change,regular_market_change_percent,regular_market_day_high,regular_market_day_low,regular_market_open,regular_market_previous_close,regular_market_volume,source_interval,two_hundred_day_average,two_hundred_day_average_change,two_hundred_day_average_change_percent,change
AHLADA.NS,Ahlada Engineers Limited,203.25,2021-06-29 07:33:48,0,0,0,0,203.25,0,INR,NSI,Asia/Kolkata,IST,70,133.25,1.9035715,203.25,0,0,39.9,163.35,4.093985,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,18.449997,9.983765,203.25,190.6,190.6,184.8,67016,15,71.84752,131.40248,1.8289077,0
AHLWEST.NS,ASIAN HOTELS (WEST,232.4,2021-06-29 07:34:43,232.4,0,8577,15877,231.4,0,INR,NSI,Asia/Kolkata,IST,214.3843,18.015701,0.084034614,339.4,-107,-0.31526223,191,41.399994,0.2167539,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,14.599991,6.703393,237.9,216,217.6,217.8,24366,15,231.78723,0.61276245,0.002643642,31.526222746022384

AKASH.NS,Akash Infra-Projects Ltd,221.55,2021-06-29 06:40:37,222.45,0,110688,40521,221.6,0,INR,NSI,Asia/Kolkata,IST,217.92,3.630005,0.01665751,281,-59.449997,-0.21156582,85,136.55,1.6064706,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-1.550003,-0.69475704,227.05,221.55,227.05,223.1,6749,15,221.04184,0.50816345,0.002298947,21.156583629893234
AKZOINDIA.NS,AKZO NOBEL INDIA,2289.45,2021-06-29 07:34:26,2289.75,0,18080,17101,2286.2,0,INR,NSI,Asia/Kolkata,IST,2261.1985,28.251465,0.012494023,2530,-240.55005,-0.09507907,1795,494.44995,0.2754596,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-0.19995117,-0.008732827,2308,2280.45,2300,2289.65,2798,15,2270.9478,18.502197,0.008147346,9.507905138339929
ALCHEM.NS,ALCHEMIST LTD,3.7,2021-06-28 09:57:49,0,0,1781,4595,0,0,INR,NSI,Asia/Kolkata,IST,3.3642857,0.33571434,0.099787705,11.45,-7.75,-0.6768559,3.05,0.6500001,0.21311478,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.049999952,1.3698617,3.7,3.4,3.5,3.65,10794,15,4.4521275,-0.7521274,-0.16893663,67.68558951965065
AMARAJABAT.NS,AMARA RAJA BATTERI,748.9,2021-06-29 07:34:41,748.2,0,777826,1952258,748.3,0,INR,NSI,Asia/Kolkata,IST,763.29,-14.389954,-0.018852537,1025.55,-276.65002,-0.2697577,643.1,105.80005,0.1645157,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-2,-0.26634702,754.95,747,750.9,750.9,410825,15,864.6273,-115.727295,-0.13384645,26.97576909950758
AMBER.NS,AMBER ENTERPRISES,2919.65,2021-06-29 07:34:38,2919.15,0,261331,100456,2916.35,0,INR,NSI,Asia/Kolkata,IST,2844.71,74.93994,0.026343614,3662,-742.3501,-0.20271713,1425,1494.6499,1.0488771,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-31.100098,-1.0539726,2975,2907,2966,2950.75,45179,15,2907.88,11.77002,0.0040476294,20.271709448388854
ANSALAPI.NS,ANSAL PROPS & INFR,8.1,2021-06-29 07:31:30,8.1,0,267072,252756,8.1,0,INR,NSI,Asia/Kolkata,IST,7.102857,0.99714327,0.14038622,13.55,-5.45,-0.402214,3.6,4.5000005,1.2500001,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,0.10000038,1.2500048,8.3,7.8,8,8,72371,15,7.5787234,0.52127695,0.06878163,40.22140221402215
APLLTD.NS,ALEMBIC PHARMACEUT,986.65,2021-06-29 07:34:34,985.75,0,208529,442551,985.9,0,INR,NSI,Asia/Kolkata,IST,965.74713,20.902893,0.021644272,1145,-158.34998,-0.13829692,864.3,122.35004,0.14155969,NSE,19800000,false,in_market,REGULAR,0,0,0,<null>,0,0,0,<null>,15,Free Realtime Quote,EQUITY,-15,-1.497529,1004.5,979.2,1001.05,1001.65,203133,15,979.26917,7.3808594,0.00753711,13.829694323144107
