SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-2007,10,1,INE822G01016,10,"'ELECTHERM.NS',",,,,,,,,,,,,,,,,,
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-1995,1,1,INE285A01027,1,"'ELGIEQUIP.NS',",,,,,,,,,,,,,,,,,
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-2011,1,1,INE819L01012,1,"'ELGIRUBCO.NS',",,,,,,,,,,,,,,,,,
EMAMILTD,Emami Limited,EQ,03-Aug-2006,1,1,INE548C01032,1,"'EMAMILTD.NS',",,,,,,,,,,,,,,,,,
EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-2019,2,1,INE830C01026,2,"'EMAMIPAP.NS',",,,,,,,,,,,,,,,,,
EMAMIREAL,Emami Realty Limited,EQ,28-Jul-2010,2,1,INE778K01012,2,"'EMAMIREAL.NS',",,,,,,,,,,,,,,,,,
EMCO,Emco Limited,BZ,15-Dec-2005,2,1,INE078A01026,2,"'EMCO.NS',",,,,,,,,,,,,,,,,,
EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-2006,10,1,INE296H01011,10,"'EMKAY.NS',",,,,,,,,,,,,,,,,,
EMMBI,Emmbi Industries Limited,EQ,24-Feb-2010,10,1,INE753K01015,10,"'EMMBI.NS',",,,,,,,,,,,,,,,,,
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-2016,10,1,INE913H01037,10,"'ENDURANCE.NS',",,,,,,,,,,,,,,,,,
ENERGYDEV,Energy Development Company Limited,EQ,02-Nov-2007,10,1,INE306C01019,10,"'ENERGYDEV.NS',",,,,,,,,,,,,,,,,,
ENGINERSIN,Engineers India Limited,EQ,20-Aug-1997,5,1,INE510A01028,5,"'ENGINERSIN.NS',",,,,,,,,,,,,,,,,,
ENIL,Entertainment Network (India) Limited,EQ,15-Feb-2006,10,1,INE265F01028,10,"'ENIL.NS',",,,,,,,,,,,,,,,,,
EPL,EPL Limited,EQ,11-Feb-2002,2,1,INE255A01020,2,"'EPL.NS',",,,,,,,,,,,,,,,,,
EQUITAS,Equitas Holdings Limited,EQ,21-Apr-2016,10,1,INE988K01017,10,"'EQUITAS.NS',",,,,,,,,,,,,,,,,,
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-2020,10,1,INE063P01018,10,"'EQUITASBNK.NS',",,,,,,,,,,,,,,,,,
ERIS,Eris Lifesciences Limited,EQ,29-Jun-2017,1,1,INE406M01024,1,"'ERIS.NS',",,,,,,,,,,,,,,,,,
EROSMEDIA,Eros International Media Limited,EQ,06-Oct-2010,10,1,INE416L01017,10,"'EROSMEDIA.NS',",,,,,,,,,,,,,,,,,
ESABINDIA,Esab India Limited,EQ,01-Nov-1995,10,1,INE284A01012,10,"'ESABINDIA.NS',",,,,,,,,,,,,,,,,,
ESCORTS,Escorts Limited,EQ,01-Mar-1995,10,1,INE042A01014,10,"'ESCORTS.NS',",,,,,,,,,,,,,,,,,
ESSARSHPNG,Essar Shipping Limited,EQ,15-Nov-2011,10,1,INE122M01019,10,"'ESSARSHPNG.NS',",,,,,,,,,,,,,,,,,
ESTER,Ester Industries Limited,EQ,20-Jun-2011,5,1,INE778B01029,5,"'ESTER.NS',",,,,,,,,,,,,,,,,,
EUROMULTI,Euro Multivision Limited,BZ,15-Oct-2009,10,1,INE063J01011,10,"'EUROMULTI.NS',",,,,,,,,,,,,,,,,,
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-Jan-1996,10,1,INE022C01012,10,"'EUROTEXIND.NS',",,,,,,,,,,,,,,,,,
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-2005,5,1,INE128A01029,5,"'EVEREADY.NS',",,,,,,,,,,,,,,,,,
EVERESTIND,Everest Industries Limited,EQ,29-Mar-1995,10,1,INE295A01018,10,"'EVERESTIND.NS',",,,,,,,,,,,,,,,,,
EXCEL,Excel Realty N Infra Limited,BE,03-Aug-2009,10,1,INE688J01015,10,"'EXCEL.NS',",,,,,,,,,,,,,,,,,
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-2004,5,1,INE369A01029,5,"'EXCELINDUS.NS',",,,,,,,,,,,,,,,,,
EXIDEIND,Exide Industries Limited,EQ,17-Jun-2003,1,1,INE302A01020,1,"'EXIDEIND.NS',",,,,,,,,,,,,,,,,,
EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-2009,10,1,INE201K01015,10,"'EXPLEOSOL.NS',",,,,,,,,,,,,,,,,,
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-1995,10,1,INE188A01015,10,"'FACT.NS',",,,,,,,,,,,,,,,,,
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-Dec-2020,10,1,INE0DNW01011,10,"'FAIRCHEMOR.NS',",,,,,,,,,,,,,,,,,
FCL,Fineotex Chemical Limited,EQ,15-Jan-2015,2,1,INE045J01026,2,"'FCL.NS',",,,,,,,,,,,,,,,,,
FCONSUMER,Future Consumer Limited,EQ,04-Jul-2013,6,1,INE220J01025,6,"'FCONSUMER.NS',",,,,,,,,,,,,,,,,,
FCSSOFT,FCS Software Solutions Limited,BE,21-Sep-2005,1,1,INE512B01022,1,"'FCSSOFT.NS',",,,,,,,,,,,,,,,,,
FDC,FDC Limited,EQ,07-Aug-1997,1,1,INE258B01022,1,"'FDC.NS',",,,,,,,,,,,,,,,,,
FEDERALBNK,The Federal Bank Limited,EQ,08-Feb-1995,2,1,INE171A01029,2,"'FEDERALBNK.NS',",,,,,,,,,,,,,,,,,
FEL,Future Enterprises Limited,EQ,05-Nov-2001,2,1,INE623B01027,2,"'FEL.NS',",,,,,,,,,,,,,,,,,
FELDVR,Future Enterprises Limited,EQ,13-Feb-2009,2,1,IN9623B01058,2,"'FELDVR.NS',",,,,,,,,,,,,,,,,,
FIEMIND,Fiem Industries Limited,EQ,19-Oct-2006,10,1,INE737H01014,10,"'FIEMIND.NS',",,,,,,,,,,,,,,,,,
FILATEX,Filatex India Limited,EQ,29-Aug-2011,2,1,INE816B01027,2,"'FILATEX.NS',",,,,,,,,,,,,,,,,,
FINCABLES,Finolex Cables Limited,EQ,15-Feb-1995,2,1,INE235A01022,2,"'FINCABLES.NS',",,,,,,,,,,,,,,,,,
FINEORG,Fine Organic Industries Limited,EQ,02-Jul-2018,5,1,INE686Y01026,5,"'FINEORG.NS',",,,,,,,,,,,,,,,,,
FINPIPE,Finolex Industries Limited,EQ,08-Feb-1995,2,1,INE183A01024,2,"'FINPIPE.NS',",,,,,,,,,,,,,,,,,
FLEXITUFF,Flexituff Ventures International Limited,BE,19-Oct-2011,10,1,INE060J01017,10,"'FLEXITUFF.NS',",,,,,,,,,,,,,,,,,
FLFL,Future Lifestyle Fashions Limited,EQ,01-Oct-2013,2,1,INE452O01016,2,"'FLFL.NS',",,,,,,,,,,,,,,,,,
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-2019,1,1,INE09N301011,1,"'FLUOROCHEM.NS',",,,,,,,,,,,,,,,,,
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-1995,10,1,INE529A01010,10,"'FMGOETZE.NS',",,,,,,,,,,,,,,,,,
FMNL,Future Market Networks Limited,EQ,31-Dec-2010,10,1,INE360L01017,10,"'FMNL.NS',",,,,,,,,,,,,,,,,,
FORCEMOT,FORCE MOTORS LTD,EQ,03-Nov-1994,10,1,INE451A01017,10,"'FORCEMOT.NS',",,,,,,,,,,,,,,,,,
FORTIS,Fortis Healthcare Limited,EQ,09-May-2007,10,1,INE061F01013,10,"'FORTIS.NS',",,,,,,,,,,,,,,,,,
FOSECOIND,Foseco India Limited,EQ,05-May-2003,10,1,INE519A01011,10,"'FOSECOIND.NS',",,,,,,,,,,,,,,,,,
FRETAIL,Future Retail Limited,EQ,29-Aug-2016,2,1,INE752P01024,2,"'FRETAIL.NS',",,,,,,,,,,,,,,,,,
FSC,Future Supply Chain Solutions Limited,EQ,18-Dec-2017,10,1,INE935Q01015,10,"'FSC.NS',",,,,,,,,,,,,,,,,,
FSL,Firstsource Solutions Limited,EQ,22-Feb-2007,10,1,INE684F01012,10,"'FSL.NS',",,,,,,,,,,,,,,,,,
GABRIEL,Gabriel India Limited,EQ,20-Apr-2005,1,1,INE524A01029,1,"'GABRIEL.NS',",,,,,,,,,,,,,,,,,
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-2000,1,1,INE036B01030,1,"'GAEL.NS',",,,,,,,,,,,,,,,,,
GAIL,GAIL (India) Limited,EQ,02-Apr-1997,10,1,INE129A01019,10,"'GAIL.NS',",,,,,,,,,,,,,,,,,
GAL,Gyscoal Alloys Limited,BE,27-Oct-2010,1,1,INE482J01021,1,"'GAL.NS',",,,,,,,,,,,,,,,,,
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-Feb-2018,10,1,INE600K01018,10,"'GALAXYSURF.NS',",,,,,,,,,,,,,,,,,
GALLANTT,Gallantt Metal Limited,EQ,04-Apr-2006,10,1,INE297H01019,10,"'GALLANTT.NS',",,,,,,,,,,,,,,,,,
GALLISPAT,Gallantt Ispat Limited,EQ,11-Oct-2010,1,1,INE528K01029,1,"'GALLISPAT.NS',",,,,,,,,,,,,,,,,,
GAMMNINFRA,Gammon Infrastructure Projects Limited,EQ,03-Apr-2008,2,1,INE181G01025,2,"'GAMMNINFRA.NS',",,,,,,,,,,,,,,,,,
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-2007,5,1,INE524B01027,5,"'GANDHITUBE.NS',",,,,,,,,,,,,,,,,,
GANECOS,Ganesha Ecosphere Limited,EQ,09-Mar-2015,10,1,INE845D01014,10,"'GANECOS.NS',",,,,,,,,,,,,,,,,,
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-Mar-2007,10,1,INE460C01014,10,"'GANESHHOUC.NS',",,,,,,,,,,,,,,,,,
GANGESSECU,Ganges Securities Limited,EQ,28-Jul-2017,10,1,INE335W01016,10,"'GANGESSECU.NS',",,,,,,,,,,,,,,,,,
GANGOTRI,Gangotri Textiles Limited,BE,07-Apr-2006,5,1,INE670B01028,5,"'GANGOTRI.NS',",,,,,,,,,,,,,,,,,
GARFIBRES,Garware Technical Fibres Limited,EQ,03-Apr-2007,10,1,INE276A01018,10,"'GARFIBRES.NS',",,,,,,,,,,,,,,,,,
GATI,GATI Limited,EQ,10-Oct-2006,2,1,INE152B01027,2,"'GATI.NS',",,,,,,,,,,,,,,,,,
GAYAHWS,Gayatri Highways Limited,BE,28-Jun-2018,2,1,INE287Z01012,2,"'GAYAHWS.NS',",,,,,,,,,,,,,,,,,
GAYAPROJ,Gayatri Projects Limited,EQ,22-Aug-2011,2,1,INE336H01023,2,"'GAYAPROJ.NS',",,,,,,,,,,,,,,,,,
GDL,Gateway Distriparks Limited,EQ,31-Mar-2005,10,1,INE852F01015,10,"'GDL.NS',",,,,,,,,,,,,,,,,,
GEECEE,GeeCee Ventures Limited,EQ,04-Oct-2006,10,1,INE916G01016,10,"'GEECEE.NS',",,,,,,,,,,,,,,,,,
GEEKAYWIRE,Geekay Wires Limited,EQ,06-Mar-2020,10,1,INE669X01016,10,"'GEEKAYWIRE.NS',",,,,,,,,,,,,,,,,,
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-Feb-2021,5,1,INE854S01022,5,"'GENCON.NS',",,,,,,,,,,,,,,,,,
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-2003,5,1,INE727B01026,5,"'GENESYS.NS',",,,,,,,,,,,,,,,,,
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-Feb-2015,1,1,INE949P01018,1,"'GENUSPAPER.NS',",,,,,,,,,,,,,,,,,
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-Jul-2005,1,1,INE955D01029,1,"'GENUSPOWER.NS',",,,,,,,,,,,,,,,,,
GEOJITFSL,Geojit Financial Services Limited,EQ,01-Jul-2005,1,1,INE007B01023,1,"'GEOJITFSL.NS',",,,,,,,,,,,,,,,,,
GEPIL,GE Power India Limited,EQ,19-Apr-2000,10,1,INE878A01011,10,"'GEPIL.NS',",,,,,,,,,,,,,,,,,
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-2006,10,1,INE017A01032,10,"'GESHIP.NS',",,,,,,,,,,,,,,,,,
GET&D,GE T&D India Limited,EQ,30-Jun-2008,2,1,INE200A01026,2,"'GET&D.NS',",,,,,,,,,,,,,,,,,
GFLLIMITED,GFL Limited,EQ,25-May-1995,1,1,INE538A01037,1,"'GFLLIMITED.NS',",,,,,,,,,,,,,,,,,
GFSTEELS,Grand Foundry Limited,BE,22-Jul-2019,4,1,INE534A01028,4,"'GFSTEELS.NS',",,,,,,,,,,,,,,,,,
GHCL,GHCL Limited,EQ,31-Jul-2003,10,1,INE539A01019,10,"'GHCL.NS',",,,,,,,,,,,,,,,,,
GICHSGFIN,GIC Housing Finance Limited,EQ,08-May-1996,10,1,INE289B01019,10,"'GICHSGFIN.NS',",,,,,,,,,,,,,,,,,
GICRE,General Insurance Corporation of India,EQ,25-Oct-2017,5,1,INE481Y01014,5,"'GICRE.NS',",,,,,,,,,,,,,,,,,
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-Dec-2009,10,1,INE047B01011,10,"'GILLANDERS.NS',",,,,,,,,,,,,,,,,,
GILLETTE,Gillette India Limited,EQ,30-Jul-2003,10,1,INE322A01010,10,"'GILLETTE.NS',",,,,,,,,,,,,,,,,,
GINNIFILA,Ginni Filaments Limited,EQ,10-May-1995,10,1,INE424C01010,10,"'GINNIFILA.NS',",,,,,,,,,,,,,,,,,
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-1995,10,1,INE162A01010,10,"'GIPCL.NS',",,,,,,,,,,,,,,,,,
GISOLUTION,GI Engineering Solutions Limited,EQ,30-Jan-2009,10,1,INE065J01016,10,"'GISOLUTION.NS',",,,,,,,,,,,,,,,,,
GKWLIMITED,GKW Limited,EQ,20-Jul-2009,10,1,INE528A01020,10,"'GKWLIMITED.NS',",,,,,,,,,,,,,,,,,
GLAND,Gland Pharma Limited,EQ,20-Nov-2020,1,1,INE068V01023,1,"'GLAND.NS',",,,,,,,,,,,,,,,,,
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-2000,10,1,INE159A01016,10,"'GLAXO.NS',",,,,,,,,,,,,,,,,,
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-2000,1,1,INE935A01035,1,"'GLENMARK.NS',",,,,,,,,,,,,,,,,,
GLFL,Gujarat Lease Financing Limited,EQ,08-Feb-1995,10,1,INE540A01017,10,"'GLFL.NS',",,,,,,,,,,,,,,,,,
GLOBAL,Global Education Limited,EQ,07-Dec-2020,10,1,INE291W01011,10,"'GLOBAL.NS',",,,,,,,,,,,,,,,,,
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-2006,10,1,INE792H01019,10,"'GLOBALVECT.NS',",,,,,,,,,,,,,,,,,
GLOBE,Globe Textiles (India) Limited,BE,07-Oct-2020,10,1,INE581X01013,10,"'GLOBE.NS',",,,,,,,,,,,,,,,,,
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-2009,10,1,INE615I01010,10,"'GLOBUSSPR.NS',",,,,,,,,,,,,,,,,,
GMBREW,GM Breweries Limited,EQ,23-Aug-1995,10,1,INE075D01018,10,"'GMBREW.NS',",,,,,,,,,,,,,,,,,
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-1997,2,1,INE131A01031,2,"'GMDCLTD.NS',",,,,,,,,,,,,,,,,,
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-2018,2,1,INE541A01023,2,"'GMMPFAUDLR.NS',",,,,,,,,,,,,,,,,,
GMRINFRA,GMR Infrastructure Limited,EQ,21-Aug-2006,1,1,INE776C01039,1,"'GMRINFRA.NS',",,,,,,,,,,,,,,,,,
GNA,GNA Axles Limited,EQ,26-Sep-2016,10,1,INE934S01014,10,"'GNA.NS',",,,,,,,,,,,,,,,,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-1995,10,1,INE113A01013,10,"'GNFC.NS',",,,,,,,,,,,,,,,,,
GOACARBON,Goa Carbon Limited,EQ,05-Jun-2007,10,1,INE426D01013,10,"'GOACARBON.NS',",,,,,,,,,,,,,,,,,
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-2014,2,1,INE077F01035,2,"'GOCLCORP.NS',",,,,,,,,,,,,,,,,,
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-1996,2,1,INE260B01028,2,"'GODFRYPHLP.NS',",,,,,,,,,,,,,,,,,
GODHA,Godha Cabcon & Insulation Limited,BE,24-Dec-2020,10,1,INE925Y01010,10,"'GODHA.NS',",,,,,,,,,,,,,,,,,
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-2017,10,1,INE850D01014,10,"'GODREJAGRO.NS',",,,,,,,,,,,,,,,,,
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-2001,1,1,INE102D01028,1,"'GODREJCP.NS',",,,,,,,,,,,,,,,,,
GODREJIND,Godrej Industries Limited,EQ,25-Feb-2003,1,1,INE233A01035,1,"'GODREJIND.NS',",,,,,,,,,,,,,,,,,
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-2010,5,1,INE484J01027,5,"'GODREJPROP.NS',",,,,,,,,,,,,,,,,,
GOENKA,Goenka Diamond and Jewels Limited,BZ,16-Apr-2010,1,1,INE516K01024,1,"'GOENKA.NS',",,,,,,,,,,,,,,,,,
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-2005,5,1,INE887G01027,5,"'GOKEX.NS',",,,,,,,,,,,,,,,,,
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-2008,2,1,INE020J01029,2,"'GOKUL.NS',",,,,,,,,,,,,,,,,,
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-2016,2,1,INE314T01025,2,"'GOKULAGRO.NS',",,,,,,,,,,,,,,,,,
GOLDENTOBC,Golden Tobacco Limited,EQ,08-Feb-1995,10,1,INE973A01010,10,"'GOLDENTOBC.NS',",,,,,,,,,,,,,,,,,
GOLDIAM,Goldiam International Limited,EQ,29-Aug-2005,10,1,INE025B01017,10,"'GOLDIAM.NS',",,,,,,,,,,,,,,,,,
GOLDTECH,Goldstone Technologies Limited,EQ,11-Apr-2001,10,1,INE805A01014,10,"'GOLDTECH.NS',",,,,,,,,,,,,,,,,,
GOODLUCK,Goodluck India Limited,EQ,08-Jan-2015,2,1,INE127I01024,2,"'GOODLUCK.NS',",,,,,,,,,,,,,,,,,
GOODYEAR,Goodyear India Limited,EQ,28-Dec-1994,10,1,INE533A01012,10,"'GOODYEAR.NS',",,,,,,,,,,,,,,,,,
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-2006,10,1,INE177H01013,10,"'GPIL.NS',",,,,,,,,,,,,,,,,,
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-2010,10,1,INE517F01014,10,"'GPPL.NS',",,,,,,,,,,,,,,,,,
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-2016,10,1,INE390G01014,10,"'GPTINFRA.NS',",,,,,,,,,,,,,,,,,
GRANULES,Granules India Limited,EQ,20-Jun-2005,1,1,INE101D01020,1,"'GRANULES.NS',",,,,,,,,,,,,,,,,,
GRAPHITE,Graphite India Limited,EQ,07-Feb-2003,2,1,INE371A01025,2,"'GRAPHITE.NS',",,,,,,,,,,,,,,,,,
GRASIM,Grasim Industries Limited,EQ,10-May-1995,2,1,INE047A01021,2,"'GRASIM.NS',",,,,,,,,,,,,,,,,,
GRAVITA,Gravita India Limited,EQ,16-Nov-2010,2,1,INE024L01027,2,"'GRAVITA.NS',",,,,,,,,,,,,,,,,,
GREAVESCOT,Greaves Cotton Limited,EQ,09-Sep-2004,2,1,INE224A01026,2,"'GREAVESCOT.NS',",,,,,,,,,,,,,,,,,
GREENLAM,Greenlam Industries Limited,EQ,02-Mar-2015,5,1,INE544R01013,5,"'GREENLAM.NS',",,,,,,,,,,,,,,,,,
GREENPANEL,Greenpanel Industries Limited,EQ,23-Oct-2019,1,1,INE08ZM01014,1,"'GREENPANEL.NS',",,,,,,,,,,,,,,,,,
GREENPLY,Greenply Industries Limited,EQ,06-Mar-1996,1,1,INE461C01038,1,"'GREENPLY.NS',",,,,,,,,,,,,,,,,,
GREENPOWER,Orient Green Power Company Limited,EQ,08-Oct-2010,10,1,INE999K01014,10,"'GREENPOWER.NS',",,,,,,,,,,,,,,,,,
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-2006,5,1,INE536A01023,5,"'GRINDWELL.NS',",,,,,,,,,,,,,,,,,
GROBTEA,The Grob Tea Company Limited,EQ,14-Jul-2016,10,1,INE646C01018,10,"'GROBTEA.NS',",,,,,,,,,,,,,,,,,
GRPLTD,GRP Limited,EQ,12-Feb-2015,10,1,INE137I01015,10,"'GRPLTD.NS',",,,,,,,,,,,,,,,,,
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-2018,10,1,INE382Z01011,10,"'GRSE.NS',",,,,,,,,,,,,,,,,,
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,15-May-2013,10,1,INE542A01039,10,"'GSCLCEMENT.NS',",,,,,,,,,,,,,,,,,
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-1995,2,1,INE026A01025,2,"'GSFC.NS',",,,,,,,,,,,,,,,,,
GSPL,Gujarat State Petronet Limited,EQ,16-Feb-2006,10,1,INE246F01010,10,"'GSPL.NS',",,,,,,,,,,,,,,,,,
GSS,GSS Infotech Limited,EQ,07-Mar-2008,10,1,INE871H01011,10,"'GSS.NS',",,,,,,,,,,,,,,,,,
GTL,GTL Limited,EQ,29-Mar-1995,10,1,INE043A01012,10,"'GTL.NS',",,,,,,,,,,,,,,,,,
GTLINFRA,GTL Infrastructure Limited,EQ,09-Nov-2006,10,1,INE221H01019,10,"'GTLINFRA.NS',",,,,,,,,,,,,,,,,,
GTNTEX,GTN Textiles Limited,EQ,18-May-2006,10,1,INE302H01017,10,"'GTNTEX.NS',",,,,,,,,,,,,,,,,,
GTPL,GTPL Hathway Limited,EQ,04-Jul-2017,10,1,INE869I01013,10,"'GTPL.NS',",,,,,,,,,,,,,,,,,
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-2004,1,1,INE742B01025,1,"'GUFICBIO.NS',",,,,,,,,,,,,,,,,,
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,07-Aug-1997,10,1,INE186A01019,10,"'GUJALKALI.NS',",,,,,,,,,,,,,,,,,
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,04-Jun-2007,10,1,INE826C01016,10,"'GUJAPOLLO.NS',",,,,,,,,,,,,,,,,,
GUJGASLTD,Gujarat Gas Limited,EQ,15-Sep-2015,2,1,INE844O01030,2,"'GUJGASLTD.NS',",,,,,,,,,,,,,,,,,
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,09-Oct-1996,10,1,INE610B01024,10,"'GUJRAFFIA.NS',",,,,,,,,,,,,,,,,,
GULFOILLUB,Gulf Oil Lubricants India Limited,EQ,31-Jul-2014,2,1,INE635Q01029,2,"'GULFOILLUB.NS',",,,,,,,,,,,,,,,,,
GULFPETRO,GP Petroleums Limited,EQ,24-Sep-2004,5,1,INE586G01017,5,"'GULFPETRO.NS',",,,,,,,,,,,,,,,,,
GULPOLY,Gulshan Polyols Limited,EQ,28-Jan-2015,1,1,INE255D01024,1,"'GULPOLY.NS',",,,,,,,,,,,,,,,,,
GVKPIL,GVK Power & Infrastructure Limited,BZ,27-Feb-2006,1,1,INE251H01024,1,"'GVKPIL.NS',",,,,,,,,,,,,,,,,,
HAL,Hindustan Aeronautics Limited,EQ,28-Mar-2018,10,1,INE066F01012,10,"'HAL.NS',",,,,,,,,,,,,,,,,,
HAPPSTMNDS,Happiest Minds Technologies Limited,EQ,17-Sep-2020,2,1,INE419U01012,2,"'HAPPSTMNDS.NS',",,,,,,,,,,,,,,,,,
HARRMALAYA,Harrisons Malayalam Limited,EQ,08-Feb-1995,10,1,INE544A01019,10,"'HARRMALAYA.NS',",,,,,,,,,,,,,,,,,
HATHWAY,Hathway Cable & Datacom Limited,EQ,25-Feb-2010,2,1,INE982F01036,2,"'HATHWAY.NS',",,,,,,,,,,,,,,,,,
HATSUN,Hatsun Agro Product Limited,EQ,20-Jun-2014,1,1,INE473B01035,1,"'HATSUN.NS',",,,,,,,,,,,,,,,,,
HAVELLS,Havells India Limited,EQ,21-Mar-2001,1,1,INE176B01034,1,"'HAVELLS.NS',",,,,,,,,,,,,,,,,,
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,BE,16-Feb-2000,2,1,INE293B01029,2,"'HAVISHA.NS',",,,,,,,,,,,,,,,,,
HBLPOWER,HBL Power Systems Limited,EQ,04-Jan-2007,1,1,INE292B01021,1,"'HBLPOWER.NS',",,,,,,,,,,,,,,,,,
HBSL,HB Stockholdings Limited,EQ,23-Jul-2018,10,1,INE550B01022,10,"'HBSL.NS',",,,,,,,,,,,,,,,,,
HCC,Hindustan Construction Company Limited,EQ,01-Apr-2003,1,1,INE549A01026,1,"'HCC.NS',",,,,,,,,,,,,,,,,,
HCG,Healthcare Global Enterprises Limited,EQ,30-Mar-2016,10,1,INE075I01017,10,"'HCG.NS',",,,,,,,,,,,,,,,,,
HCL-INSYS,HCL Infosystems Limited,EQ,01-Jan-1997,2,1,INE236A01020,2,"'HCL-INSYS.NS',",,,,,,,,,,,,,,,,,
HCLTECH,HCL Technologies Limited,EQ,06-Jan-2000,2,1,INE860A01027,2,"'HCLTECH.NS',",,,,,,,,,,,,,,,,,
HDFC,Housing Development Finance Corporation Limited,EQ,23-Oct-1996,2,1,INE001A01036,2,"'HDFC.NS',",,,,,,,,,,,,,,,,,
HDFCAMC,HDFC Asset Management Company Limited,EQ,06-Aug-2018,5,1,INE127D01025,5,"'HDFCAMC.NS',",,,,,,,,,,,,,,,,,
HDFCBANK,HDFC Bank Limited,EQ,08-Nov-1995,1,1,INE040A01034,1,"'HDFCBANK.NS',",,,,,,,,,,,,,,,,,
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,17-Nov-2017,10,1,INE795G01014,10,"'HDFCLIFE.NS',",,,,,,,,,,,,,,,,,
HDIL,Housing Development and Infrastructure Limited,BZ,24-Jul-2007,10,1,INE191I01012,10,"'HDIL.NS',",,,,,,,,,,,,,,,,,
HEG,HEG Limited,EQ,10-May-1995,10,1,INE545A01016,10,"'HEG.NS',",,,,,,,,,,,,,,,,,
HEIDELBERG,HeidelbergCement India Limited,EQ,15-Mar-1995,10,1,INE578A01017,10,"'HEIDELBERG.NS',",,,,,,,,,,,,,,,,,
HEMIPROP,Hemisphere Properties India Limited,EQ,22-Oct-2020,10,1,INE0AJG01018,10,"'HEMIPROP.NS',",,,,,,,,,,,,,,,,,
HERANBA,Heranba Industries Limited,EQ,05-Mar-2021,10,1,INE694N01015,10,"'HERANBA.NS',",,,,,,,,,,,,,,,,,
HERCULES,Hercules Hoists Limited,EQ,19-Feb-2008,1,1,INE688E01024,1,"'HERCULES.NS',",,,,,,,,,,,,,,,,,
HERITGFOOD,Heritage Foods Limited,EQ,27-Nov-1996,5,1,INE978A01027,5,"'HERITGFOOD.NS',",,,,,,,,,,,,,,,,,
