SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-2014,10,1,INE204E01012,10,"'AGARIND.NS',",,,,,,,,,,,,,,,,,
AGCNET,AGC Networks Limited,EQ,22-Jul-2003,10,1,INE676A01019,10,"'AGCNET.NS',",,,,,,,,,,,,,,,,,
AGRITECH,Agri-Tech (India) Limited,EQ,28-Jan-2014,10,1,INE449G01018,10,"'AGRITECH.NS',",,,,,,,,,,,,,,,,,
AGROPHOS,Agro Phos India Limited,EQ,08-Mar-2019,10,1,INE740V01019,10,"'AGROPHOS.NS',",,,,,,,,,,,,,,,,,
AHLADA,Ahlada Engineers Limited,EQ,28-Jan-2021,10,1,INE00PV01013,10,"'AHLADA.NS',",,,,,,,,,,,,,,,,,
AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-2010,10,1,INE926K01017,10,"'AHLEAST.NS',",,,,,,,,,,,,,,,,,
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-2009,2,1,INE758C01029,2,"'AHLUCONT.NS',",,,,,,,,,,,,,,,,,
AHLWEST,Asian Hotels (West) Limited,EQ,05-Aug-2010,10,1,INE915K01010,10,"'AHLWEST.NS',",,,,,,,,,,,,,,,,,
AIAENG,AIA Engineering Limited,EQ,14-Dec-2005,2,1,INE212H01026,2,"'AIAENG.NS',",,,,,,,,,,,,,,,,,
AIRAN,Airan Limited,EQ,03-May-2019,2,1,INE645W01026,2,"'AIRAN.NS',",,,,,,,,,,,,,,,,,
AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-2000,2,1,INE031B01049,2,"'AJANTPHARM.NS',",,,,,,,,,,,,,,,,,
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-2009,10,1,INE298G01027,10,"'AJMERA.NS',",,,,,,,,,,,,,,,,,
AJOONI,Ajooni Biotech Limited,BE,07-May-2021,10,1,INE820Y01013,10,"'AJOONI.NS',",,,,,,,,,,,,,,,,,
AKASH,Akash Infra-Projects Limited,EQ,11-Oct-2019,10,1,INE737W01013,10,"'AKASH.NS',",,,,,,,,,,,,,,,,,
AKG,Akg Exim Limited,EQ,16-Feb-2021,10,1,INE00Y801016,10,"'AKG.NS',",,,,,,,,,,,,,,,,,
AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-2017,10,1,INE542B01011,10,"'AKSHARCHEM.NS',",,,,,,,,,,,,,,,,,
AKSHOPTFBR,Aksh Optifibre Limited,BE,18-Aug-2000,5,1,INE523B01011,5,"'AKSHOPTFBR.NS',",,,,,,,,,,,,,,,,,
AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-2001,10,1,INE133A01011,10,"'AKZOINDIA.NS',",,,,,,,,,,,,,,,,,
ALANKIT,Alankit Limited,EQ,30-Jun-2015,1,1,INE914E01040,1,"'ALANKIT.NS',",,,,,,,,,,,,,,,,,
ALBERTDAVD,Albert David Limited,EQ,14-Jun-2016,10,1,INE155C01010,10,"'ALBERTDAVD.NS',",,,,,,,,,,,,,,,,,
ALCHEM,Alchemist Limited,BZ,31-Jul-2007,10,1,INE964B01033,10,"'ALCHEM.NS',",,,,,,,,,,,,,,,,,
ALEMBICLTD,Alembic Limited,EQ,22-Sep-1999,2,1,INE426A01027,2,"'ALEMBICLTD.NS',",,,,,,,,,,,,,,,,,
ALICON,Alicon Castalloy Limited,EQ,29-Sep-2006,5,1,INE062D01024,5,"'ALICON.NS',",,,,,,,,,,,,,,,,,
ALKALI,Alkali Metals Limited,EQ,06-Nov-2008,10,1,INE773I01017,10,"'ALKALI.NS',",,,,,,,,,,,,,,,,,
ALKEM,Alkem Laboratories Limited,EQ,23-Dec-2015,2,1,INE540L01014,2,"'ALKEM.NS',",,,,,,,,,,,,,,,,,
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-2007,2,1,INE150B01039,2,"'ALKYLAMINE.NS',",,,,,,,,,,,,,,,,,
ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-2006,2,1,INE418H01029,2,"'ALLCARGO.NS',",,,,,,,,,,,,,,,,,
ALLSEC,Allsec Technologies Limited,EQ,09-May-2005,10,1,INE835G01018,10,"'ALLSEC.NS',",,,,,,,,,,,,,,,,,
ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-2008,6,1,INE326B01027,6,"'ALMONDZ.NS',",,,,,,,,,,,,,,,,,
ALOKINDS,Alok Industries Limited,EQ,19-Feb-2020,1,1,INE270A01029,1,"'ALOKINDS.NS',",,,,,,,,,,,,,,,,,
ALPA,Alpa Laboratories Limited,BE,06-Aug-2007,10,1,INE385I01010,10,"'ALPA.NS',",,,,,,,,,,,,,,,,,
ALPHAGEO,Alphageo (India) Limited,EQ,11-May-2007,10,1,INE137C01018,10,"'ALPHAGEO.NS',",,,,,,,,,,,,,,,,,
ALPSINDUS,Alps Industries Limited,EQ,24-Apr-1996,10,1,INE093B01015,10,"'ALPSINDUS.NS',",,,,,,,,,,,,,,,,,
AMARAJABAT,Amara Raja Batteries Limited,EQ,05-Sep-2003,1,1,INE885A01032,1,"'AMARAJABAT.NS',",,,,,,,,,,,,,,,,,
AMBER,Amber Enterprises India Limited,EQ,30-Jan-2018,10,1,INE371P01015,10,"'AMBER.NS',",,,,,,,,,,,,,,,,,
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-2004,10,1,INE792B01012,10,"'AMBICAAGAR.NS',",,,,,,,,,,,,,,,,,
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-2008,10,1,INE540G01014,10,"'AMBIKCO.NS',",,,,,,,,,,,,,,,,,
AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-1998,2,1,INE079A01024,2,"'AMBUJACEM.NS',",,,,,,,,,,,,,,,,,
AMDIND,AMD Industries Limited,EQ,19-Mar-2007,10,1,INE005I01014,10,"'AMDIND.NS',",,,,,,,,,,,,,,,,,
AMJLAND,Amj Land Holdings Limited,EQ,08-Feb-1995,2,1,INE606A01024,2,"'AMJLAND.NS',",,,,,,,,,,,,,,,,,
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-Jan-2015,1,1,INE098F01031,1,"'AMRUTANJAN.NS',",,,,,,,,,,,,,,,,,
ANANTRAJ,Anant Raj Limited,EQ,27-Sep-2006,2,1,INE242C01024,2,"'ANANTRAJ.NS',",,,,,,,,,,,,,,,,,
ANDHRACEMT,Andhra Cements Limited,BE,08-Nov-2010,10,1,INE666E01012,10,"'ANDHRACEMT.NS',",,,,,,,,,,,,,,,,,
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-2004,10,1,INE435A01028,10,"'ANDHRAPAP.NS',",,,,,,,,,,,,,,,,,
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-1995,10,1,INE715B01013,10,"'ANDHRSUGAR.NS',",,,,,,,,,,,,,,,,,
ANGELBRKG,Angel Broking Limited,EQ,05-Oct-2020,10,1,INE732I01013,10,"'ANGELBRKG.NS',",,,,,,,,,,,,,,,,,
ANIKINDS,Anik Industries Limited,EQ,21-May-2008,10,1,INE087B01017,10,"'ANIKINDS.NS',",,,,,,,,,,,,,,,,,
